samples,sample_id,Site
1A01,RRL1,RRL
1B01,RRL2,RRL
1C01,RRL3,RRL
1D01,RRL4,RRL
1E01,RRL5,RRL
1F01,RRL6,RRL
1G01,RRL7,RRL
1H01,RRL8,RRL
1A02,RRL9,RRL
1B02,RRL10,RRL
1C02,RRL11,RRL
1D02,RRL12,RRL
1E02,RRL13,RRL
1F02,RRL14,RRL
1G02,RRL15,RRL
1H02,RRL16,RRL
1A03,RRL17,RRL
1B03,RRL18,RRL
1C03,RRL19,RRL
1D03,RRL20,RRL
1E03,RRL21,RRL
1F03,RRL22,RRL
1G03,FRW1,FRW
1H03,FRW2,FRW
1A04,FRW3,FRW
1B04,FRW4,FRW
1C04,FRW 5,FRW
1D04,FRW6,FRW
1E04,FRW8,FRW
1F04,FRW9,FRW
1G04,FRW10,FRW
1H04,FRW11,FRW
1A05,FRW12,FRW
1B05,FRW13,FRW
1C05,MMP1,MMP
1D05,MMP2,MMP
1E05,MMP3,MMP
1F05,MMP4,MMP
1G05,MMP5,MMP
1H05,MMP6,MMP
1A06,MMP7,MMP
1B06,MMP8,MMP
1C06,MMP9,MMP
1D06,MMP10,MMP
1E06,MMP11,MMP
1F06,MMP12,MMP
1G06,MMP13,MMP
1H06,MMP14,MMP
1A07,MMP15,MMP
1B07,MMP16,MMP
1C07,MMP17,MMP
1D07,MMP18,MMP
1E07,MMP19,MMP
1F07,MMP20,MMP
1G07,PNR1,PNR
1H07,PNR2,PNR
1A08,PNR3,PNR
1B08,CMB6,CMB
1C08,CMB7,CMB
1D08,CMB8,CMB
1E08,CMB9,CMB
1F08,CMB10,CMB
1G08,CMB11,CMB
1H08,RF13,RF
1A09,CMB13,CMB
1B09,CMB14,CMB
1C09,CMB15,CMB
1D09,CMB16,CMB
1E09,CMB17,CMB
1F09,CMB18,CMB
1G09,CMB19,CMB
1H09,CMB20,CMB
1A10,CMB21,CMB
1B10,CMB22,CMB
1C10,CMB23,CMB
1D10,CMB24,CMB
1E10,CMB25,CMB
1F10,CMB26,CMB
1G10,CMB27,CMB
1H10,CMB28,CMB
1A11,SLG1,SLG
1B11,SLG2,SLG
1C11,SLG3,SLG
1D11,SLG4,SLG
1E11,SLG5,SLG
1F11,SLG6,SLG
1G11,SLG8,SLG
1H11,SLG10,SLG
1A12,SLG13,SLG
1B12,SLG14,SLG
1C12,SLG16,SLG
1D12,SLG18,SLG
1E12,SLG15,SLG
1F12,SLG20,SLG
1G12,SLG23,SLG
1H12,LFS1,LFS
2A01,LFS2,LFS
2B01,LFS3,LFS
2C01,LFS4,LFS
2D01,LFS5,LFS
2E01,LFS6,LFS
2F01,LFS7,LFS
2G01,LFS8,LFS
2H01,LFS9,LFS
2A02,LFS11,LFS
2B02,LFS12,LFS
2C02,LFS13,LFS
2D02,LFS14,LFS
2E02,LFS15,LFS
2F02,SGC1,SGC
2G02,SGC2,SGC
2H02,SGC3,SGC
2A03,SGC4,SGC
2B03,SGC5,SGC
2C03,SGC6,SGC
2D03,SGC7,SGC
2E03,SGC8,SGC
2F03,SGC9,SGC
2G03,SGC10,SGC
2H03,SGC11,SGC
2A04,SGC12,SGC
2B04,RGT1,RGT
2C04,RGT2,RGT
2D04,RGT3,RGT
2E04,RGT4,RGT
2F04,RGT5,RGT
2G04,RGT6,RGT
2H04,RGT7,RGT
2A05,HR1,HR
2B05,HR2,HR
2C05,HR3,HR
2D05,HR4,HR
2E05,HR5,HR
2F05,HR6,HR
2G05,PTW1,PTW
2H05,PTW2,PTW
2A06,PTW3,PTW
2B06,PTW4,PTW
2C06,PTW5,PTW
2D06,PTW6,PTW
2E06,PTW7,PTW
2F06,PTW8,PTW
2G06,PTW9,PTW
2H06,PTW10,PTW
2A07,GH1,GH
2B07,GH2,GH
2C07,LM1,LM
2D07,SLG17,SLG
2E07,LM3,LM
2F07,LM4,LM
2G07,LM5,LM
2H07,LM6,LM
2A08,LM7,LM
2B08,LM8,LM
2C08,LM9,LM
2D08,LM10,LM
2E08,LM11,LM
2F08,LM12,LM
2G08,LM13,LM
2H08,LM14,LM
2A09,LM15,LM
2B09,LM16,LM
2C09,LM17,LM
2D09,LM18,LM
2E09,LM19,LM
2F09,LM20,LM
2G09,LM21,LM
2H09,LM22,LM
2A10,LM23,LM
2B10,LM25,LM
2C10,SLG21,SLG
2D10,LM28,LM
2E10,MKP1,MKP
2F10,MKP2,MKP
2G10,MKP3,MKP
2H10,MKP4,MKP
2A11,MKP5,MKP
2B11,MKP6,MKP
2C11,MKP7,MKP
2D11,MKP8,MKP
2E11,RF1,RF
2F11,RF2,RF
2G11,RF3,RF
2H11,RF4,RF
2A12,RF5,RF
2B12,RF6,RF
2C12,RF7,RF
2D12,RF8,RF
2E12,RF9,RF
2F12,RF10,RF
2G12,RF11,RF
2H12,RF12,RF
