Species,Site,Organic_Matter,pH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
exaltata,RRL,14.2,6.2,7,138,788,133,6,17,2.4,97,62,1.6,0.3
exaltata,RRL,13.8,5.9,8,132,935,146,8,19,3.1,77,94,2.8,0.2
exaltata,RRL,12.4,5.4,7,184,646,102,11,17,1.9,74,75,2.7,0.2
exaltata,RRL,14.7,6,9,172,824,133,7,16,2.6,87,76,1.8,0.2
exaltata,RRL,12.6,6.2,7,134,1028,151,8,19,2.7,94,90,1.9,0.3
exaltata,RRL,10.5,6.3,7,144,863,156,5,20,2.5,116,78,1.5,0.2
exaltata,RRL,21.3,6,9,170,1069,148,12,19,3,93,75,4.5,0.4
exaltata,RRL,13.1,5,7,97,355,64,12,17,1.1,56,83,1.9,0.2
exaltata,RRL,11.2,5.6,5,143,402,85,7,16,1.5,35,81,2.5,0.2
exaltata,RRL,15.7,5.8,8,155,870,149,6,18,2.3,91,73,2.1,0.3
exaltata,RRL,22.5,5.9,16,119,853,153,13,18,3.8,97,100,2.9,0.2
exaltata,RRL,28.9,5.5,17,114,878,148,11,17,3.1,79,131,2.6,0.2
exaltata,RRL,25.6,6,17,139,1059,162,11,18,4.7,130,103,1.9,0.3
exaltata,RRL,12.5,5.7,8,152,576,112,10,17,1.6,90,83,2.7,0.2
exaltata,RRL,14.9,5.8,8,149,902,148,8,18,2.2,115,81,3.4,0.2
exaltata,RRL,11.3,5.1,5,116,428,86,11,17,1.5,62,82,3.1,0.2
exaltata,RRL,17.6,5.4,11,107,471,89,13,17,2.1,72,98,3.4,0.2
exaltata,CMB,31.3,4.4,60,129,597,74,29,16,10.9,52,200,0.4,0.2
exaltata,CMB,32.5,4.8,61,127,693,78,27,17,12.6,45,146,0.4,0.2
exaltata,CMB,33.7,4.8,60,143,1023,133,19,15,17.5,32,156,0.4,0.3
exaltata,CMB,33.4,5,81,192,829,118,28,16,15.8,51,163,0.7,0.2
exaltata,CMB,25.7,4.9,80,171,850,120,26,16,19.5,53,170,0.5,0.3
exaltata,CMB,34.6,5,71,162,1251,165,21,17,18,37,161,0.5,0.5
exaltata,SLG,14.7,5.3,51,69,473,70,12,14,2.9,37,67,0.5,0.2
exaltata,SLG,16.3,5.4,55,59,842,113,11,15,3.7,49,59,0.5,0.2
exaltata,SLG,15.9,5.5,36,88,1149,162,10,15,3.3,58,92,0.5,0.3
exaltata,SLG,23.6,5.5,52,75,899,106,14,16,5.8,65,94,0.6,0.2
exaltata,SLG,18.8,5.3,65,78,780,106,14,15,3.9,67,93,0.6,0.2
exaltata,SLG,17,5.4,50,61,556,82,17,15,4.7,46,85,0.5,0.1
exaltata,LFS,26.8,5.9,116,143,2940,348,21,15,40.8,115,109,1.4,0.8
exaltata,LFS,26.6,5.5,101,113,2529,253,22,15,26.2,50,70,0.7,0.7
exaltata,LFS,26.9,5.7,83,134,2747,283,28,15,27.4,64,66,0.7,0.9
exaltata,LFS,31.9,5.3,137,107,2183,195,31,15,24.1,79,96,0.7,0.7
exaltata,LFS,44.6,6.2,1,4,43,10,1,10,0.1,1,1,0.1,0.1
