,sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,site_id,collect_date,V2,species
0,RRL1,19.4,150.0,9.5,5.9,6.77,10.0,180.0,1200.0,153.0,8.0,38.0,2.2,68.0,82.0,4.1,0.3,RRL,6/25/2021,0.246756057,exaltata
1,RRL2,21.3,150.0,8.4,6.0,6.8,9.0,170.0,1069.0,148.0,12.0,19.0,3.0,93.0,75.0,4.5,0.4,RRL,6/25/2021,0.291587812,exaltata
2,RRL3,22.5,150.0,7.1,5.9,6.81,16.0,119.0,853.0,153.0,13.0,18.0,3.8,97.0,100.0,2.9,0.2,RRL,6/25/2021,0.221953818,exaltata
3,RRL4,28.9,150.0,8.1,5.5,6.72,17.0,114.0,878.0,148.0,11.0,17.0,3.1,79.0,131.0,2.6,0.2,RRL,6/25/2021,0.279633368,exaltata
4,RRL5,25.6,150.0,8.4,6.0,6.8,17.0,139.0,1059.0,162.0,11.0,18.0,4.7,130.0,103.0,1.9,0.3,RRL,6/25/2021,0.427512638,exaltata
5,RRL6,12.5,150.0,5.4,5.7,6.82,8.0,152.0,576.0,112.0,10.0,17.0,1.6,90.0,83.0,2.7,0.2,RRL,6/25/2021,0.346038525,exaltata
6,RRL7,14.9,150.0,7.7,5.8,6.78,8.0,149.0,902.0,148.0,8.0,18.0,2.2,115.0,81.0,3.4,0.2,RRL,6/25/2021,0.224518484,exaltata
7,RRL9,17.6,150.0,4.8,5.4,6.79,11.0,107.0,471.0,89.0,13.0,17.0,2.1,72.0,98.0,3.4,0.2,RRL,6/25/2021,0.418634317,exaltata
8,RRL10,15.2,150.0,4.6,5.3,6.79,6.0,91.0,442.0,79.0,11.0,17.0,1.1,86.0,96.0,3.0,0.2,RRL,6/25/2021,0.407226935,exaltata
9,RRL11,21.4,150.0,8.8,5.5,6.7,8.0,105.0,1013.0,133.0,11.0,18.0,2.5,130.0,110.0,3.3,0.2,RRL,6/25/2021,0.415827155,exaltata
10,RRL12,17.9,150.0,9.6,5.6,6.71,8.0,144.0,1107.0,169.0,10.0,18.0,2.5,115.0,92.0,3.5,0.3,RRL,6/25/2021,0.378610566,exaltata
11,RRL13,15.3,150.0,7.9,5.6,6.75,7.0,118.0,919.0,129.0,8.0,18.0,2.3,73.0,76.0,2.9,0.3,RRL,6/25/2021,0.14313463,exaltata
12,RRL16,12.4,150.0,6.4,5.4,6.75,7.0,184.0,646.0,102.0,11.0,17.0,1.9,74.0,75.0,2.7,0.2,RRL,6/25/2021,0.376871167,exaltata
13,RRL17,14.7,150.0,6.7,6.0,6.83,9.0,172.0,824.0,133.0,7.0,16.0,2.6,87.0,76.0,1.8,0.2,RRL,6/25/2021,0.408486828,exaltata
14,RRL18,12.6,150.0,7.7,6.2,6.84,7.0,134.0,1028.0,151.0,8.0,19.0,2.7,94.0,90.0,1.9,0.3,RRL,6/25/2021,0.243565632,exaltata
15,RRL19,10.5,150.0,6.8,6.3,6.86,7.0,144.0,863.0,156.0,5.0,20.0,2.5,116.0,78.0,1.5,0.2,RRL,6/25/2021,0.32191292,exaltata
16,RRL20,13.1,150.0,4.4,5.0,6.75,7.0,97.0,355.0,64.0,12.0,17.0,1.1,56.0,83.0,1.9,0.2,RRL,6/25/2021,0.112471831,exaltata
17,RRL21,11.2,150.0,4.2,5.6,6.83,5.0,143.0,402.0,85.0,7.0,16.0,1.5,35.0,81.0,2.5,0.2,RRL,6/25/2021,0.211598351,exaltata
18,RRL22,15.7,150.0,7.5,5.8,6.79,8.0,155.0,870.0,149.0,6.0,18.0,2.3,91.0,73.0,2.1,0.3,RRL,6/25/2021,0.208825287,exaltata
19,FRW1,9.8,150.0,13.6,6.4,6.81,26.0,170.0,2184.0,120.0,8.0,18.0,5.7,40.0,110.0,2.6,0.7,FRW,6/25/2021,0.7852478009999999,syriaca
20,FRW2,6.7,150.0,12.4,6.8,6.89,36.0,131.0,2118.0,115.0,9.0,16.0,4.6,50.0,103.0,2.5,0.7,FRW,6/25/2021,0.995266379,syriaca
21,FRW3,11.2,150.0,15.0,6.4,6.8,25.0,133.0,2437.0,127.0,9.0,21.0,6.4,50.0,112.0,2.4,0.9,FRW,6/25/2021,0.95193434,syriaca
22,FRW4,11.5,150.0,15.2,6.6,6.84,27.0,157.0,2548.0,133.0,8.0,16.0,5.5,45.0,117.0,2.6,1.0,FRW,6/25/2021,0.656546865,syriaca
23,FRW6,12.8,150.0,15.2,6.3,6.77,34.0,152.0,2392.0,143.0,9.0,19.0,5.0,37.0,113.0,2.3,0.8,FRW,6/25/2021,0.963354074,syriaca
24,FRW8,11.3,150.0,15.5,6.7,6.86,39.0,180.0,2620.0,132.0,11.0,36.0,6.0,46.0,109.0,2.4,1.0,FRW,6/25/2021,0.6929732259999999,syriaca
25,FRW9,9.0,150.0,13.1,6.4,6.81,24.0,191.0,2077.0,112.0,8.0,16.0,3.9,41.0,113.0,2.2,0.7,FRW,6/25/2021,0.949617207,syriaca
26,FRW10,8.3,150.0,12.6,6.8,6.89,27.0,123.0,2203.0,102.0,8.0,16.0,4.1,45.0,94.0,2.7,0.7,FRW,6/25/2021,0.99999504,syriaca
27,FRW11,9.9,150.0,14.4,7.0,6.93,32.0,120.0,2609.0,121.0,8.0,15.0,5.8,51.0,112.0,2.9,0.9,FRW,6/25/2021,0.99986691,syriaca
28,FRW12,11.9,150.0,12.8,6.6,6.85,25.0,137.0,2098.0,130.0,7.0,20.0,4.7,49.0,94.0,1.8,0.9,FRW,6/25/2021,0.996053809,syriaca
29,FRW13,8.6,150.0,14.9,6.7,6.86,48.0,285.0,2458.0,133.0,8.0,20.0,5.4,48.0,101.0,2.7,1.0,FRW,6/25/2021,0.93800131,syriaca
30,MMP1,29.1,150.0,12.1,5.1,6.48,53.0,99.0,1205.0,145.0,20.0,16.0,11.1,30.0,73.0,0.5,0.3,MMP,6/28/2021,0.999987456,syriaca
31,MMP2,28.5,150.0,15.8,5.8,6.63,50.0,136.0,2071.0,249.0,18.0,15.0,9.3,35.0,54.0,0.6,0.5,MMP,6/28/2021,0.928784175,syriaca
32,MMP3,33.5,150.0,12.7,5.4,6.57,78.0,108.0,1433.0,189.0,21.0,15.0,11.3,34.0,64.0,0.5,0.4,MMP,6/28/2021,0.921600652,syriaca
33,MMP4,30.5,150.0,16.3,5.6,6.55,69.0,138.0,2009.0,244.0,21.0,15.0,11.8,43.0,56.0,0.5,0.5,MMP,6/28/2021,0.999937501,syriaca
34,MMP5,31.8,150.0,13.2,5.6,6.62,46.0,122.0,1614.0,199.0,20.0,15.0,9.6,28.0,51.0,0.6,0.4,MMP,6/28/2021,0.920482076,syriaca
35,MMP6,24.9,150.0,13.0,5.3,6.53,39.0,136.0,1373.0,202.0,19.0,15.0,6.2,23.0,45.0,0.5,0.4,MMP,6/28/2021,0.999993011,syriaca
36,MMP7,28.3,150.0,17.9,5.6,6.51,48.0,129.0,2234.0,255.0,22.0,18.0,12.7,36.0,65.0,0.6,0.4,MMP,6/28/2021,0.983129509,syriaca
37,MMP8,28.2,150.0,17.1,6.0,6.67,69.0,145.0,2285.0,316.0,21.0,15.0,14.1,44.0,56.0,0.6,0.6,MMP,6/28/2021,0.999999914,syriaca
38,MMP9,28.2,150.0,15.1,5.7,6.61,61.0,141.0,1855.0,267.0,19.0,15.0,12.6,37.0,60.0,0.6,0.5,MMP,6/28/2021,0.904952487,syriaca
39,MMP10,24.3,150.0,12.4,5.6,6.64,46.0,151.0,1442.0,216.0,21.0,16.0,9.6,34.0,56.0,0.5,0.4,MMP,6/28/2021,0.992059724,syriaca
40,MMP11,24.2,150.0,11.0,5.0,6.48,67.0,117.0,996.0,141.0,17.0,18.0,7.3,23.0,52.0,0.5,0.2,MMP,6/28/2021,0.9093784,syriaca
41,MMP12,26.3,150.0,11.9,5.3,6.56,57.0,137.0,1199.0,212.0,17.0,15.0,9.1,31.0,52.0,0.5,0.4,MMP,6/28/2021,0.988045417,syriaca
42,MMP13,32.0,150.0,14.2,5.9,6.69,72.0,232.0,1714.0,311.0,20.0,16.0,11.8,54.0,58.0,0.6,0.6,MMP,6/28/2021,0.961333795,syriaca
43,MMP14,43.6,150.0,21.5,6.0,6.6,103.0,165.0,2932.0,361.0,20.0,14.0,18.2,57.0,59.0,0.8,0.8,MMP,6/28/2021,0.999996167,syriaca
44,MMP15,30.3,150.0,20.8,4.9,6.1,80.0,138.0,1856.0,237.0,20.0,15.0,11.1,42.0,72.0,0.5,0.5,MMP,6/28/2021,0.985847727,syriaca
45,MMP16,24.8,150.0,12.3,5.7,6.67,95.0,182.0,1529.0,179.0,25.0,14.0,13.9,84.0,70.0,0.5,0.4,MMP,6/28/2021,0.999880149,syriaca
46,MMP17,37.9,150.0,16.7,5.8,6.61,97.0,128.0,2190.0,260.0,24.0,16.0,17.9,44.0,69.0,0.6,0.6,MMP,6/28/2021,0.99612139,syriaca
47,MMP18,29.0,150.0,10.7,5.0,6.49,38.0,94.0,1013.0,116.0,21.0,17.0,10.2,20.0,68.0,0.4,0.3,MMP,6/28/2021,0.966110769,syriaca
48,MMP19,35.2,150.0,14.7,6.1,6.73,110.0,140.0,2004.0,272.0,21.0,17.0,13.6,60.0,71.0,0.6,0.7,MMP,6/28/2021,0.950022725,syriaca
49,CMB6,34.6,150.0,13.7,5.0,6.37,71.0,162.0,1251.0,165.0,21.0,17.0,18.0,37.0,161.0,0.5,0.5,CMB,6/29/2021,0.388694493,syriaca
50,CMB8,23.6,150.0,12.4,5.5,6.61,107.0,124.0,1230.0,321.0,17.0,14.0,12.8,19.0,81.0,0.6,0.3,CMB,6/29/2021,0.999999966,syriaca
51,CMB9,27.4,150.0,13.7,5.2,6.46,99.0,140.0,1256.0,280.0,16.0,14.0,14.6,15.0,92.0,0.6,0.3,CMB,6/29/2021,0.999998074,syriaca
52,CMB10,26.2,150.0,9.4,4.6,6.42,79.0,98.0,620.0,104.0,27.0,15.0,11.9,23.0,107.0,0.7,0.2,CMB,6/29/2021,0.999777121,syriaca
53,CMB11,32.7,150.0,8.4,4.8,6.54,105.0,95.0,649.0,115.0,25.0,14.0,11.1,25.0,97.0,0.5,0.2,CMB,6/29/2021,0.999999983,syriaca
