sample_id,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron,sample_id,site_id,collect_date
BLDTT0,4.3,124,8.1,6.8,6.91,18,180,1193,178,3,7,2.3,321,78,1.5,0.5,BLDTT0,BLD,6/29/2020
BLDTT1,4.8,132,9.5,6.8,6.9,14,158,1375,226,4,9,2.5,310,89,1.5,0.7,BLDTT1,BLD,6/29/2020
BLDTT2,4.9,135,9,6.8,6.9,15,177,1335,188,3,7,3,308,68,1.4,0.6,BLDTT2,BLD,6/29/2020
BLDTT3,5.6,147,10.2,7,6.93,16,249,1498,247,5,8,3.1,328,70,1.5,0.8,BLDTT3,BLD,6/29/2020
BLDTT4,5.4,145,9.1,6.9,6.92,13,143,1284,266,8,9,3,324,84,1.8,0.7,BLDTT4,BLD,6/29/2020
BLDTT5,3.2,102,8.3,6,6.8,7,146,996,196,5,9,1.5,153,84,1.2,0.4,BLDTT5,BLD,6/29/2020
BLDTT6,3.5,111,6.5,6.6,6.89,11,155,837,176,5,9,1.2,131,73,1.1,0.3,BLDTT6,BLD,6/29/2020
BLDTT7,3.1,104,5.4,6,6.85,8,104,668,111,1,9,0.9,115,66,0.8,0.2,BLDTT7,BLD,6/29/2020
BLDTT8,3.6,113,6.6,6,6.83,8,110,852,118,5,9,1.2,131,75,1,0.2,BLDTT8,BLD,6/29/2020
BLDTT9,2.89,101,4.8,6,6.86,11,113,627,74,5,7,1.1,112,61,0.9,0.2,BLDTT9,BLD,6/29/2020
BLDTT11,4.7,135,6.6,6,6.83,22,195,781,138,5,9,1.9,85,76,1,0.4,BLDTT11,BLD,6/29/2020
BLDTT12,4.6,133,6.6,6.1,6.84,23,266,770,131,5,9,1.6,78,82,0.9,0.3,BLDTT12,BLD,6/29/2020
BLDTT13,4.9,138,6.8,6.1,6.84,24,270,741,175,1,9,2.2,76,80,1.1,0.3,BLDTT13,BLD,6/29/2020
BLDTT14,5.4,148,7.3,5.8,6.79,32,229,766,172,8,9,2.6,64,87,1,0.3,BLDTT14,BLD,6/29/2020
BLDTT15,4.5,130,7.1,6.1,6.83,25,335,751,177,8,9,2,76,81,1.2,0.4,BLDTT15,BLD,6/29/2020
BLDTT16,5,140,7.1,6,6.82,14,152,859,151,10,9,1.7,163,79,1.1,0.4,BLDTT16,BLD,6/29/2020
BLDTT17,5,139,7.6,6.3,6.85,15,233,931,180,6,7,2,129,70,1.3,0.4,BLDTT17,BLD,6/29/2020
BLDTT18,4.7,134,7,5.7,6.78,19,112,790,144,5,8,2,94,95,1.5,0.4,BLDTT18,BLD,6/29/2020
BLDTT19,4.8,134,8.6,6.4,6.85,18,325,1042,201,3,9,2.3,102,87,1.4,0.5,BLDTT19,BLD,6/29/2020
BLDTT20,4.6,132,7.3,6.1,6.83,19,237,871,159,9,9,2.8,101,104,1.3,0.4,BLDTT20,BLD,6/29/2020
BLDTT21,5.6,150,8.1,6.2,6.83,16,281,967,184,5,9,3.4,150,108,1.4,0.5,BLDTT21,BLD,6/29/2020
BLDTT22,5.1,143,6.5,6,6.83,17,274,762,110,5,7,2.3,123,97,1.5,0.4,BLDTT22,BLD,6/29/2020
BLDTT23,4.9,140,5.9,5.6,6.79,16,127,659,98,9,8,2.1,104,160,1.7,0.4,BLDTT23,BLD,6/29/2020
BLDTT24,5.9,150,5.9,5.1,6.71,30,117,531,82,7,8,2.4,140,109,1.4,0.3,BLDTT24,BLD,6/29/2020
BLDTT25,5,145,3.7,5.7,6.85,19,134,402,65,4,8,2.2,101,109,1.1,0.2,BLDTT25,BLD,6/29/2020
BLDTT26,4.1,124,5.3,6.3,6.87,20,216,618,122,5,9,2.3,171,119,1.6,0.3,BLDTT26,BLD,6/29/2020
BLDTT27,4,124,4.1,5.8,6.85,18,143,445,82,3,9,1.5,240,125,1.5,0.2,BLDTT27,BLD,6/29/2020
BLDTT28,5.9,150,6.9,6.2,6.85,23,205,901,127,10,9,3.1,229,151,1.8,0.5,BLDTT28,BLD,6/29/2020
BLDTT29,5.3,149,4.9,5.8,6.84,20,136,574,84,6,9,2.6,243,211,2,0.4,BLDTT29,BLD,6/29/2020
BLDTT30,5.3,150,4.4,5.7,6.84,22,165,476,83,11,9,2.4,245,167,1.9,0.3,BLDTT30,BLD,6/29/2020
BLDTT31,5.1,147,3.8,6,6.87,14,61,510,56,6,9,1.3,193,116,1,0.3,BLDTT31,BLD,6/29/2020
BLDTT32,3.8,117,6.4,6,6.83,20,136,851,90,16,11,2.4,273,191,2,0.5,BLDTT32,BLD,6/29/2020
BLDTT33,5.1,143,6.5,5.9,6.82,17,99,869,97,9,9,2,232,181,1.8,0.4,BLDTT33,BLD,6/29/2020
BLDTT34,5.3,148,5.8,6,6.84,14,165,736,96,10,9,2.3,253,211,2,0.5,BLDTT34,BLD,6/29/2020
