,samples,paired_end,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Tectomicrobia,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Cyanobacteria,Bacteria|Deinococcus-Thermus,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
0,A01,R1,0.09709,0,0.0526,2.28435,0.23518,0,0.53916,0,0,0,0.01067,0,0,0,0,0,0,0,0.00012,0.00328,0,0.00074,0,0,0.00343,0,0,0,0,0,0,0,0,0,0,0.00023,0,19.62983,0.0623,0,2.64212,0.00496,0,0,0,0.00196,0.00063,4.49619,0,0.01506,0.08152,1.67125,0,0.01367,0,0,0.0012,0,0,0.00792,0.1496,0.00031,0.02912,0,0.0132,0,0.0011,0.00406,0,0.00121
1,A03,R2,0.15444,0,0.28245,3.94682,0.23356,0.00014,0.32229,0,0,0,0,0,0,0,0,0,0,0,0,0.01924,0,0,0,0.26897,0.00304,0,0,0,0.00024,0,0,0,0,0,0,0.02673,0,18.15072,0.15064,0,3.1819,0.01089,0.00083,0.00031,0,0.00035,0.00399,5.49996,0,0.06191,0.03539,0.46052,0,0.01741,0,0,0.00079,0,0,0.01679,0.22396,0.00062,0.03889,0,0.04182,0.00041,0.00194,0.00458,0,0.00012
2,A05,R1,0.082,0,0.0485,3.047,0.18302,0,0.12106,0,0,0,0.01241,0,0,0,0,0,0,0,0,0.00782,0,0.00101,0,0,0.0029,0,0,0,0,0,0,0,0,0,0.00011,0.01164,0.00077,20.05369,0.06387,0.00012,3.99776,0.00303,0,0,0,0.00012,0.00044,3.18388,0,0.07431,0.03337,0.07529,0.00132,0,0.00018,0,0.00035,0,0,0.02703,0.12129,0,0.08449,0,0.02365,0.00022,0.00107,0.0046,0,0
3,A07,R2,0.1235,0,0.12223,3.798,0.00133,0,0.26494,0,0,0,0.01252,0,0,0,0,0,0,0,0,0.0012,0,0.00044,0.00018,0.12536,0.0024,0,0,0,0,0.00041,0,0,0,0,0.00029,0.02128,0,14.86675,0.09097,0.00013,3.51531,0.00395,0.00015,0.00031,0,0.00118,0.00045,5.1427,0,0.01622,0.03978,1.08618,0.02992,0.0389,0.00037,0,0.00205,0,0,0.05956,0.25446,0.0003,0.09569,0,0.0676,0.0002,0.00146,0.00506,0,0.00015
4,A09,R1,0.16543,0,0.14183,3.6517,0.14374,0,0.40374,0.0082,0,0,0,0,0,0,0,0,0,0,0,0.00529,0,0,0,0.14171,0.00169,0,0,0,0,0,0,0.00048,0,0.00251,0,0.00035,0.0004,11.34418,0.07232,0,3.36956,0.0039,0.00051,0,0,0,0.00124,3.59989,0,0.29146,0.05479,1.34714,0.01709,0.03643,0.00038,0,0.00022,0,0,0.15067,0.24398,0.00022,0.05253,0,0.0294,0.00021,0.00256,0.00756,0,0.00033
5,A11,R2,0.07162,0,0.06792,1.02759,0,0,0.05721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0.00069,0,0,0,0,0,0,0,0,0.00134,0,0.4472,0,0,0.01846,0,0.00145,0,0,0,0,2.1548,0,0,0,0,0,0,0.00076,0,0,0,0,0,0.00776,0,0.00011,0,0.01797,0,0,0.00026,0,0
6,B01,R1,0.11215,0,0.1513,4.96405,0.20097,0,0.32299,0,0,0,0.00443,0,0,0,0,0,0,0,0,0.00156,0.01354,0,0.00013,0.18631,0.00362,0,0,0,0.00016,0,0,0.00077,0,0,0.00015,0.00045,0,17.2527,0.14396,0.00052,4.12454,0.00612,0,0.00024,0.00011,0.00047,0.00067,5.81124,0,0.14662,0.01062,0.84594,0.00011,0.00807,0,0,0.00051,0,0,0.02807,0.24001,0.00067,0.04526,0,0.04266,0.00057,0.00076,0.00559,0.00011,0.00026
7,B02,R2,0.18479,0,0.21167,3.55802,0.16617,0.00013,0.42239,0,0,0,0,0,0,0,0,0,0.03164,0,0,0.00695,0,0,0.00016,0,0.00361,0.01323,0,0,0,0,0,0.0003,0,0,0,0.0254,0,14.01701,0.13991,0,3.6932,0.00592,0.00075,0,0,0.00127,0.00115,4.25745,0,0.07065,0.08476,0.39944,0,0.06013,0.00059,0,0,0,0,0.06072,0.20608,0.00024,0.06896,0,0.0372,0.00186,0.00219,0.00662,0,0.00178
8,B03,R1,0.1531,0,0.17984,5.80478,0.18575,0,0.61918,0,0,0,0.00528,0,0,0.0003,0,0,0,0,0,0.00691,0,0,0.00013,0,0.00342,0.00898,0,0.00024,0,0,0,0.00059,0,0,0.00016,0.00024,0.00061,17.28472,0.17723,0,3.71647,0.0027,0.00024,0.00018,0.00012,0.00045,0.0016,6.1838,0,0.11348,0.01748,1.5113,0.07589,0.01287,0,0,0.00031,0,0,0.12221,0.26935,0.00108,0.0601,0,0.03858,0.00264,0.00108,0.00647,0,0.00025
9,B04,R2,0.13606,0,0.06656,2.4433,0.22116,0.00015,0.62513,0,0,0,0.00042,0,0,0,0,0.00015,0,0,0,0.00434,0,0,0,0.19706,0.00251,0.01065,0,0,0.00023,0,0,0.00065,0,0.00274,0,0.00134,0,19.53859,0.05946,0,1.06656,0.00572,0,0.0004,0,0.0028,0.00041,4.13599,0,0.08124,0.00262,2.68346,0.01903,0.01878,0.00123,0,0.0005,0.00878,0,0.1176,0.18162,0.00026,0.02627,0,0.02902,0.00065,0.00065,0.00283,0,0
