,samples,paired_end,Archaea|Candidatus Bathyarchaeota,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Adlerbacteria,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Azambacteria,Bacteria|Candidatus Berkelbacteria,Bacteria|Candidatus Bipolaricaulota,Bacteria|Candidatus Chisholmbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Levybacteria,Bacteria|Candidatus Liptonbacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Roizmanbacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Schekmanbacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Uhrbacteria,Bacteria|Candidatus Vogelbacteria,Bacteria|Candidatus Wildermuthbacteria,Bacteria|Candidatus Wolfebacteria,Bacteria|Candidatus Zambryskibacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Fibrobacteres,Bacteria|Firmicutes,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Kiritimatiellaeota,Bacteria|Lentisphaerae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division CPR2,Bacteria|candidate division NC10,Bacteria|candidate division WPS-2,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Basidiomycota,Eukaryota|Chlorophyta,Eukaryota|Mucoromycota
0,A01,R1,0,0.00025,0.00288,0.00016,0.39156,7.16024,0,0.00445,0.23882,0,0,0,0,0.0003,0,0,0,0,0,0,0.0002,0,0.00025,0.00025,0,0,0,0,0,0.00032,0.00024,0,0.00127,0,0,0,0.00215,0.01769,0,0,0,0,0,0,0,0,0.00015,0.02332,0.02103,0.0002,0.02109,0,0.02942,0,0.00024,0,0.05981,0.04306,0,0,0,0,0.02471,0.02214,15.06817,0.00061,0,0,0.00064,0,0,0.19291,0.00172,0,0.00089,0,0.0001,0,0.00014,0.00496,0.00089,0.00034,0.00025
1,A02,R2,0,0,0.03238,0.00483,0.19886,5.81539,0,0.00447,0.3795,0,0.00092,0.00096,0.00014,0,0,0,0,0.00015,0.00038,0,0.00026,0,0.00017,0.0005,0.00016,0,0,0,0,0,0.00034,0.00021,0.00565,0.00479,0,0,0.00381,0.05753,0,0,0.00444,0,0,0,0,0.00086,0.00846,0.02036,0.02669,0,0.01914,0,0.0331,0,0.00224,0,0.15927,0.05432,0.00214,0.00248,0.00146,0.00085,0.04305,0.02601,14.53413,0.00118,0.00056,0.00027,0.0023,0,0.00176,0.14534,0.00019,0,0.00986,0,0.00078,0,0,0.00213,0.00057,0.00084,0
2,A03,R1,0,0,0.04178,0.01153,0.21995,3.6387,0,0.00107,0.41259,0,0,0,0,0.00064,0,0,0,0,0,0,0.00027,0,0.00042,0,0,0,0,0,0,0,0.00021,0.0002,0.00794,0.00563,0,0.00018,0.0029,0.04112,0.00016,0,0,0,0.00013,0,0,0,0.00112,0.01491,0.02166,0,0.0167,0,0.0251,0,0,0,0.14296,0.03264,0,0.00231,0.00158,0,0.04878,0.0182,14.8071,0.001,0.00666,0.00047,0,0,0.00161,0.10948,0,0,0.00821,0.00022,0.00026,0,0,0.0015,0.0008,0.00052,0
3,E05,R2,0,0.00042,0.0004,0.01333,0.33679,8.88698,0,0.00011,0.1185,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0.00091,0.00483,0,0,0.00431,0,0,0,0,0,0,0.02877,0.02229,0.00044,0.00927,0,0.00788,0,0.00011,0,0.04631,0.02631,0,0,0,0,0.0096,0.03455,11.93561,0.0001,0,0.00017,0.00381,0,0,0.10259,0,0,0.01272,0,0.00179,0,0,0.00072,0.0003,0,0
4,F10,R1,0,0,0.03391,0.00425,0.25793,6.07029,0,0.00272,0.24,0,0,0.00069,0,0.0007,0,0,0,0,0,0.00034,0.00011,0,0,0.00024,0,0,0,0,0.00012,0,0,0,0.00075,0.00369,0,0,0.00092,0.01486,0,0,0,0,0,0,0,0,0.00052,0.03003,0.02785,0.00316,0.02138,0,0.02731,0,0.0015,0,0.073,0.05182,0.00196,0.00532,0,0,0.0194,0.04519,13.63112,0.00088,0,0.00037,0,0,0,0.15342,0.00012,0,0.00361,0,0,0,0,0.00359,0.00093,0.00082,0
5,F11,R2,0,0,0.05448,0.00152,0.20224,4.7187,0,0.00461,0.51306,0,0,0.00161,0.00043,0.00013,0,0,0,0,0,0,0.00025,0,0.00031,0.00011,0,0,0,0,0,0.00011,0.00023,0,0.00308,0,0,0,0.00083,0.00923,0,0,0.005,0.0007,0,0.00012,0,0,0.00527,0.0067,0.01821,0,0.01405,0,0.02732,0.00256,0,0,0.1218,0.03826,0,0,0,0.00252,0.02487,0.02568,12.48899,0.00127,0.00038,0.00229,0.00092,0,0.00285,0.1654,0.00086,0,0.00045,0,0,0,0.00026,0.00648,0.00131,0.00074,0.00018
6,F12,R1,0,0,0.01901,0.00758,0.18584,10.02924,0,0.00262,0.26667,0,0.00101,0,0.00035,0,0,0,0,0,0,0,0.00014,0,0.00012,0,0,0.00014,0,0.00013,0,0,0.00013,0.00028,0.00498,0.00358,0.00015,0,0.00104,0.00734,0,0,0.00022,0,0,0,0,0,0,0.00668,0.00735,0,0.0198,0,0.01318,0,0.0025,0,0.04663,0.01997,0,0,0.0007,0,0.01793,0.03049,13.73734,0.00102,0,0.00265,0,0.00054,0.0001,0.19728,0,0,0.00441,0,0,0,0,0.00348,0.00065,0.00023,0
7,H01,R2,0,0,0.04557,0.00393,0.19647,7.62594,0,0.00407,0.38814,0,0.00038,0.00054,0.00026,0.00132,0,0.00126,0,0,0,0.00038,0.00016,0,0.00018,0.00385,0.00012,0,0,0.00023,0,0.00013,0.00051,0.00031,0.00457,0.00492,0,0,0.00201,0.02701,0,0.00019,0.0049,0,0,0,0,0.00024,0.00897,0.02164,0.02647,0.00334,0.02684,0.00019,0.03815,0,0.00039,0,0.20198,0.02993,0.00012,0.00252,0.002,0.0008,0.01804,0.03849,11.5057,0.00086,0.00283,0.00871,0.01279,0,0.00574,0.14245,0.00092,0.00023,0.00466,0,0.00048,0,0.00033,0.00532,0.002,0.00059,0.0002
8,H02,R1,0.00034,0.0016,0.04014,0.02125,0.16382,2.76202,0,0.00151,0.74485,0,0,0.00117,0.00037,0.00105,0,0,0,0,0,0,0.00033,0,0,0,0,0,0,0,0,0,0.00215,0.00027,0.00293,0.00229,0,0,0.00261,0.02839,0,0.00016,0.00349,0.00018,0,0,0.00013,0,0.0022,0.0107,0.0363,0.00461,0.02143,0,0.03106,0,0.00265,0,0.08852,0.04569,0.00348,0.00212,0.0007,0.00128,0.03782,0.01801,16.96499,0.00104,0.00244,0.00347,0.00113,0,0.00198,0.10914,0,0,0.00358,0,0.0003,0,0,0.00247,0.00081,0.00054,0
9,H03,R2,0,0,0.0179,0.00409,0.15251,3.90713,0.00038,0.00222,1.79802,0.00015,0.00044,0.00088,0.00033,0.0003,0,0,0.00104,0,0.00048,0.00054,0.00026,0.00011,0.00056,0.00109,0,0.00014,0.00019,0,0,0,0.00023,0.00026,0.00403,0.00158,0.00018,0,0.00103,0.03942,0,0,0.00267,0.00031,0.00017,0,0.00014,0.00015,0.01017,0.02325,0.0145,0.00362,0.02592,0.00079,0.03055,0,0.0036,0.00018,0.23631,0.04623,0.00234,0.00201,0.00103,0.00094,0.01791,0.0146,21.87616,0.00074,0.00288,0.00557,0.00434,0,0.00105,0.11738,0,0,0.00034,0,0.00019,0.00076,0.00014,0.18733,0.00145,0.00049,0.00019
