,samples,paired_end,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aerophobetes,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Cyanobacteria,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
0,1E0,R1,0.14752,0,0.06225,3.7323,0.14993,0,0.38374,0,0,0,0,0.00516,0,0,0,0,0,0,0,0,0,0,0,0,0.01195,0,0,0,0.00179,0,0,0,0.00024,0,0,0,0,0,0.00013,0.00718,18.39626,0.05151,0,0,1.32421,0.00278,0,0,0,0,0.00111,2.99978,0,0.05202,0.01807,0.35035,0,0.02882,0,0,0.00133,0,0,0.01058,0.13113,0.00012,0.0235,0,0.01856,0,0,0.0006,0.00244,0,0
1,1E0,R2,0.14301,0,0.04499,3.05108,0.13467,0,0.23301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441,0,0,0.25722,0.00268,0,0,0,0,0,0,0,0,0,0,0.00401,16.5361,0.03636,0,0,1.56238,0.00259,0,0,0,0.00025,0.00045,3.55993,0,0.02548,0.00263,0.86263,0.03524,0.02741,0,0,0.00041,0,0,0.00608,0.07703,0.00021,0.01763,0,0.01524,0,0,0.00056,0.00203,0,0
2,1E0,R1,0.06449,0,0.04099,3.85958,0.12841,0,0.44693,0,0,0,0,0,0,0,0,0,0,0,0.00073,0,0,0,0,0,0.00103,0,0,0.2119,0.00194,0,0,0.00012,0.00012,0,0,0.0003,0,0,0,0.02229,12.46859,0.05746,0,0,2.0875,0.00489,0.00058,0.00031,0,0.00022,0.00103,10.29438,0,0.03028,0.0138,1.13539,0.01359,0,0.0006,0,0.00021,0,0,0.02714,0.13858,0.00019,0.06617,0,0.01821,0,0.00147,0.00022,0.00152,0,0
3,1E1,R2,0.12917,0,0.07988,4.75267,0.14433,0,0.85317,0,0,0,0,0.00062,0,0,0,0,0,0,0.00046,0.00021,0,0,0,0,0.004,0,0,0.14816,0.00261,0,0,0.0001,0.00014,0,0,0.0003,0,0,0.00029,0.00331,18.80588,0.10474,0,0.00023,2.07424,0.00632,0.00014,0.00018,0,0,0.00042,6.58474,0,0.05097,0.00933,0.30702,0,0.01164,0.00116,0,0.00035,0,0,0.14211,0.2424,0.00068,0.07075,0,0.03514,0,0,0.00148,0.00425,0,0.00012
4,1F0,R1,0.1902,0,0.083,4.35181,0.16462,0,0.68657,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,0,0.25969,0.0029,0,0,0,0,0,0.00052,0.00016,0,0,0,0.00036,13.65186,0.06916,0,0,3.33241,0.00448,0.00041,0,0,0,0.0005,5.19557,0,0.00039,0.00265,0.57244,0.00014,0.02564,0.00119,0,0.00049,0,0,0.16334,0.18322,0.00039,0.06259,0,0.03635,0,0.00436,0.00095,0.00371,0,0
5,1F0,R2,0.09317,0,0.08306,3.08142,0.13383,0,0.51225,0,0,0.00029,0,0.00589,0,0,0,0,0.00042,0,0.00051,0,0.00015,0,0,0,0.01391,0,0,0,0.00293,0.01009,0,0.00031,0.00012,0,0,0,0,0,0,0.00043,23.70426,0.07633,0,0,2.24308,0.00409,0,0.00026,0,0.00047,0.00092,5.72246,0,0.04392,0.02537,1.78851,0.05073,0.01388,0.00112,0,0.00042,0,0,0.08745,0.20122,0.00023,0.08316,0,0.0295,0,0.00491,0.00055,0.00299,0,0
6,1F0,R1,0.14149,0,0.12983,4.22418,0.16985,0,0.29328,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0,0,0.00979,0.00033,0,0.28043,0.00248,0,0,0,0,0,0.00035,0.00028,0.00041,0,0,0.00105,14.11325,0.04275,0,0.00011,1.74476,0.0037,0,0,0,0,0.00085,4.40764,0,0.04086,0.07339,0.45809,0.02294,0,0,0,0.00023,0,0,0.03774,0.13189,0.00153,0.02644,0,0.01536,0,0.00015,0.00165,0.00218,0,0
7,1F0,R2,0.15438,0,0.07777,1.98839,0,0.00011,0.23749,0,0,0,0,0.00284,0,0,0,0,0,0,0,0,0,0,0,0,0.00232,0,0,0.17561,0.00191,0,0,0,0,0,0,0.00045,0,0,0,0.00047,11.68958,0.04628,0,0,2.70204,0.0039,0.00146,0,0,0,0.00034,4.39485,0,0.0305,0.03037,0.60175,0,0.00013,0,0,0.00044,0,0,0.0111,0.13098,0,0.02432,0,0.01604,0,0,0.00056,0.00285,0,0.00037
8,1F0,R1,0.14314,0,0.05716,2.14533,0.1574,0,0.26548,0,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0.00302,0,0,0.16663,0.00217,0,0,0,0,0,0,0,0,0,0,0.00514,14.63891,0.04472,0,0.00015,1.85493,0.00501,0,0,0.00012,0,0.00117,6.6568,0,0.00844,0.02169,0.94664,0.04496,0.01926,0,0.00628,0.00039,0,0,0.01465,0.17512,0.00013,0.08811,0,0.02308,0,0,0.0006,0.003,0,0.00035
9,1F1,R2,0.1302,0,0.04699,3.05795,0,0,0.33503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339,0,0,0.19337,0.00199,0,0,0.00031,0,0,0,0.00036,0,0,0.00325,0.0005,14.75975,0.04665,0,0,2.13027,0.005,0.00015,0.0003,0,0.0004,0.00086,5.63206,0,0.04842,0.0206,0.33011,0.04812,0.01514,0.00066,0,0.00059,0,0,0.08277,0.15451,0,0.026,0,0.02623,0,0.00051,0.00039,0.00318,0,0
