,sample_id,site,Archaea|Candidatus Bathyarchaeota,Archaea|Candidatus Korarchaeota,Archaea|Candidatus Verstraetearchaeota,Archaea|Candidatus Woesearchaeota,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Abditibacteriota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Caldiserica,Bacteria|Calditrichaeota,Bacteria|Candidatus Adlerbacteria,Bacteria|Candidatus Amesbacteria,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Andersenbacteria,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Azambacteria,Bacteria|Candidatus Beckwithbacteria,Bacteria|Candidatus Berkelbacteria,Bacteria|Candidatus Bipolaricaulota,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Campbellbacteria,Bacteria|Candidatus Chisholmbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Collierbacteria,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Edwardsbacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Giovannonibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Harrisonbacteria,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Jorgensenbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Kapabacteria,Bacteria|Candidatus Kerfeldbacteria,Bacteria|Candidatus Kryptonia,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Levybacteria,Bacteria|Candidatus Liptonbacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Moranbacteria,Bacteria|Candidatus Niyogibacteria,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Pacebacteria,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Roizmanbacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Ryanbacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Schekmanbacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Sungbacteria,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Tectomicrobia,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Uhrbacteria,Bacteria|Candidatus Vogelbacteria,Bacteria|Candidatus Wildermuthbacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Candidatus Wolfebacteria,Bacteria|Candidatus Yanofskybacteria,Bacteria|Candidatus Yonathbacteria,Bacteria|Candidatus Zambryskibacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Coprothermobacterota,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Fibrobacteres,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Kiritimatiellaeota,Bacteria|Lentisphaerae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division AD3,Bacteria|candidate division CPR2,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WPS-2,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
0,SLG1,SLG,0,0,0,0,0,0.09709,0,0,0.0526,2.28435,0.23518,0,0.53916,0,0,0,0,0,0,0,0.01067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00328,0,0,0,0.00074,0,0,0,0,0.00343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,19.62983,0,0.0623,0,0,0,2.64212,0.00496,0,0,0,0,0,0.00196,0.00063,4.49619,0,0.01506,0.08152,1.67125,0,0.01367,0,0,0,0,0.0012,0,0,0,0.00792,0.1496,0.00031,0.02912,0,0.0132,0,0,0.0011,0.00406,0,0.00121
1,SLG2,SLG,0,0,0,0,0,0.11215,0,0,0.1513,4.96405,0.20097,0,0.32299,0,0,0,0,0,0,0,0.00443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0.01354,0,0,0,0.00013,0,0,0.18631,0.00362,0,0,0,0,0,0,0.00016,0,0,0,0,0.00077,0,0,0,0,0,0,0,0,0,0.00015,0.00045,0,0,17.2527,0,0.14396,0,0.00052,0,4.12454,0.00612,0,0.00024,0,0,0.00011,0.00047,0.00067,5.81124,0,0.14662,0.01062,0.84594,0.00011,0.00807,0,0,0,0,0.00051,0,0,0,0.02807,0.24001,0.00067,0.04526,0,0.04266,0,0.00057,0.00076,0.00559,0.00011,0.00026
2,SLG3,SLG,0,0,0,0,0,0.09886,0,0,0.18035,4.116,0.17741,0,0.54782,0,0,0,0,0,0,0,0.00812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0,0,0,0.00105,0,0,0,0.23546,0.00293,0.01059,0,0,0,0.00012,0,0.00015,0,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0,0.01755,0,0,22.85467,0,0.10482,0,0.00015,0,3.73334,0.00412,0,0,0,0,0,0,0.00078,4.01716,0,0.06579,0.04685,0.21633,0.0001,0,0,0,0,0,0.00024,0,0,0,0.09211,0.188,0,0.03359,0,0.03165,0,0.00027,0.00171,0.00542,0,0.00032
3,SLG4,SLG,0,0,0,0,0,0.10501,0,0,0.18267,3.30499,0.21587,0.00014,0.54273,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,0,0,0,0,0,0,0,0.21657,0.00373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,21.3953,0,0.10293,0,0,0,3.4913,0.00289,0.00069,0,0,0,0,0,0.00024,3.94854,0,0.04523,0.05712,0.0867,0.02252,0.03302,0,0,0,0,0.00037,0,0.00486,0,0.01877,0.1961,0,0.04577,0,0.03673,0,0.00032,0.00197,0.00565,0,0
4,SLG5,SLG,0,0,0,0,0,0.13771,0,0,0.04284,1.62886,0.12685,0,0.12941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00086,0,0,0,0,0,0,0,0.12522,0.00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067,0,0,10.61936,0,0.04403,0,0,0,2.73941,0.00063,0,0,0,0,0,0,0,1.67903,0,0.00183,0.02238,0.20685,0,0,0,0,0,0,0.00033,0,0,0,0.0108,0.06913,0.0001,0.00785,0,0.0197,0,0,0.00044,0.00317,0,0.00011
5,SLG6,SLG,0,0,0,0,0,0.13337,0,0,0.10002,4.03556,0.27283,0,0.69729,0,0,0,0,0,0,0,0.00874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02305,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032,0.02261,0,0,25.51977,0,0.0878,0,0,0,2.01349,0.00407,0,0.00021,0,0,0,0.0071,0.00068,3.8302,0,0.24182,0.04817,0.56309,0,0.01746,0.00131,0,0,0,0.00049,0,0,0.00861,0.01363,0.12209,0.00021,0.00686,0,0.04364,0,0.00043,0.00076,0.00451,0,0
6,SLG7,SLG,0,0,0,0,0,0.17461,0,0,0.12731,2.57382,0,0,0.50739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069,0,0,0,0,0.00022,0,0,0,0.00252,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0.00013,0.00012,0.00055,0,13.35129,0,0.1014,0,0,0,3.49664,0.00262,0,0,0,0,0,0.00017,0.00056,4.71267,0,0.19729,0.07116,0.28362,0,0.03258,0,0,0,0,0,0,0,0,0.04397,0.22406,0.0008,0.03597,0,0.03027,0,0.00055,0.00175,0.00524,0,0.0007
7,SLG8,SLG,0,0,0,0,0,0.14239,0,0,0.14396,2.96103,0.19852,0,0.36931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053,0,0,0,0.00048,0,0,0,0.0014,0.00243,0,0,0,0,0.00012,0,0.00014,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,16.98591,0,0.15059,0,0,0,3.17065,0.00251,0.00014,0,0,0,0,0.00164,0.00071,4.91405,0,0.05041,0.00228,0.65848,0,0.03728,0,0,0,0,0.00083,0,0,0,0.05963,0.15171,0.00119,0.11399,0,0.036,0,0.00049,0.00151,0.00596,0,0.00013
8,SLG9,SLG,0,0,0,0,0,0.10317,0,0,0,2.53501,0.14214,0,0.18144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097,0,0,0,0,0,0,0,0.2452,0.00313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0,0,20.27632,0,0.05918,0,0,0,1.47941,0.00341,0.00026,0.00022,0,0,0,0,0.00064,3.95343,0.00011,0.05509,0.01038,1.43961,0,0.01844,0,0,0,0,0.0004,0,0,0,0.03316,0.11429,0.00036,0.01921,0,0.01985,0,0.00021,0.00064,0.0035,0,0
9,SLG10,SLG,0,0,0,0,0,0.18479,0,0,0.21167,3.55802,0.16617,0.00013,0.42239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03164,0,0,0,0,0,0,0,0,0,0,0,0,0.00695,0,0,0,0,0.00016,0,0,0,0.00361,0.01323,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0.0254,0,0,14.01701,0,0.13991,0,0,0,3.6932,0.00592,0.00075,0,0,0,0,0.00127,0.00115,4.25745,0,0.07065,0.08476,0.39944,0,0.06013,0.00059,0,0,0,0,0,0,0,0.06072,0.20608,0.00024,0.06896,0,0.0372,0,0.00186,0.00219,0.00662,0,0.00178
