Plot,Plant,Species,length_leaf,width_leaf,apical_angle ,base_angle ,L/W,L/V,Secondary_veins,stomata_density,trichome_density,Comp.1
HR,10,exaltata,16.38431425,6.571876695,32.0665,65.907,2.493095202,0.6425221276,25.5,241.0346855,1.4781966,2.730774686
HR,9,exaltata,9.64387601,5.259094219,91.848,148.128,1.833752279,0.5357708894,18,226.3374486,0.7390983001,1.643197986
LFS,7,exaltata,13.12221308,6.554919779,34.018,61.886,2.001887669,0.640107955,20.5,167.5485009,6.651884701,2.204399867
LFS,9,exaltata,15.79479394,7.297954086,22.343,43.4675,2.164276968,0.619403684,25.5,182.2457378,7.390983001,2.387446751
LFS,5,exaltata,18.36185945,7.813932421,22.298,47.9815,2.349887158,0.7813557212,23.5,196.9429747,13.3037694,2.617687016
LFS,6,exaltata,14.32465089,7.596234213,30.9595,77.2685,1.885756874,0.5405528636,26.5,217.5191064,6.651884701,1.712230055
LFS,4,exaltata,16.33181658,8.953316499,32.716,95.314,1.824108037,0.5184703678,31.5,176.366843,7.390983001,2.068964775
LFS,3,exaltata,13.00585952,8.682430559,33.8045,71.1555,1.497951459,0.6845189223,19,238.0952381,8.869179601,2.663291795
LFS,8,exaltata,14.89244379,7.946828291,30.842,46.7725,1.87401102,0.6618863908,22.5,241.0346855,10.3473762,2.073890058
LFS,2,exaltata,14.79609092,8.044712854,36.3765,64.975,1.839231703,0.6725495873,22,202.8218695,2.2172949,1.544556858
LFS,10,exaltata,15.56616065,6.259291358,33.6265,61.217,2.486888653,0.6485900272,24,211.6402116,16.9992609,1.66033949
LFS,1,exaltata,16.54198409,5.98130048,28.527,37.6945,2.765616632,0.8270992045,20,176.366843,0.7390983001,1.071175811
PEBR,7,exaltata,16.442601,7.002138359,37.5165,64.418,2.348225665,0.9672118237,17,129.3356849,5.173688101,2.109864023
PEBR,1,exaltata,19.02685156,7.364032316,29.228,42.4115,2.58375449,1.189178223,16,102.8806584,6.651884701,1.606550504
PEBR,4,exaltata,9.45764652,5.772225275,86.675,81.87,1.63847495,0.945764652,10,94.06231628,2.9563932,1.804877035
PEBR,2,exaltata,18.62460976,6.136902385,17.9515,39.79,3.034855143,0.9312304882,20,117.5778954,0.7390983001,1.607100577
PEBR,3,exaltata,13.60356248,5.344127736,35.6885,39.0975,2.545515967,0.7557534711,18,167.5485009,2.2172949,0.5079901889
PEBR,9,exaltata,10.25729759,4.1452046,42.51,51.7145,2.4744973,0.8919389209,11.5,132.2751323,2.9563932,0.9897952315
RRL,9,exaltata,12.91182877,5.572386986,25.3355,75.407,2.317109131,0.6148489889,21,232.2163433,11.8255728,1.712262616
RRL,6,exaltata,16.40155989,5.432252653,27.8005,69.488,3.019292535,0.5964203595,27.5,176.366843,8.869179601,1.682355202
RRL,5,exaltata,10.31948846,3.488876923,42.0265,73.5215,2.957825309,0.4127795385,25,220.4585538,13.3037694,1.905388603
RRL,1,exaltata,13.86187096,5.231263257,20.0465,62.7935,2.649813301,0.5898668494,23.5,243.9741329,11.0864745,1.792217083
RRL,10,exaltata,16.23326623,5.636828282,27.7165,39.066,2.879858215,0.6763860931,24,226.3374486,9.608277901,1.864137049
RRL,8,exaltata,14.59825802,4.567379925,20.0215,83.0295,3.196199628,0.5839303207,25,202.8218695,17.7383592,1.766896566
RRL,7,exaltata,14.42028711,5.677734075,33.524,67.888,2.539796143,0.7034286393,20.5,188.1246326,14.0428677,1.830983843
RRL,4,exaltata,13.19489781,5.181329251,24.2375,38.7905,2.546624075,0.6766614261,19.5,196.9429747,5.912786401,2.291693597
RRL,3,exaltata,12.55383524,5.426642366,35.633,53.8765,2.313370661,0.7846147022,16,205.7613169,4.4345898,1.862782578
SGC1,1,exaltata,18.37295056,7.977101189,35.779,71.7315,2.303211421,1.113512155,16.5,182.2457378,11.0864745,1.386582368
SGC1,3,exaltata,14.86579728,4.64935931,53.1355,48.7355,3.197386197,0.6757180583,22,155.7907113,9.608277901,1.895199473
SGC1,9,exaltata,16.12528766,6.200059034,39.813,43.4225,2.600828085,0.8958493146,18,164.6090535,2.9563932,1.770024475
SGC1,10,exaltata,11.95466104,4.858675075,43.964,39.8405,2.460477571,0.7969774029,15,208.7007643,4.4345898,1.116925039
SGC1,5,exaltata,13.39270402,7.207541253,57.536,61.802,1.85815156,0.7440391123,18,158.7301587,3.6954915,-1.87283604
SGC1,4,exaltata,16.08831287,4.859043804,29.259,50.092,3.311003877,0.7150361278,22.5,179.8941799,8.130081301,-0.4722113992
SGC1,2,exaltata,18.51832168,6.261719766,46.175,38.696,2.957385889,0.8230365189,22.5,129.3356849,8.869179601,0.3629008988
SGC1,8,exaltata,16.21437724,6.164974135,54.103,52.1835,2.630080335,0.8107188619,20,250.4409171,5.173688101,0.6117553366
SLG,7,exaltata,14.40105207,7.45477084,35.5525,123.0785,1.931790042,0.9600701382,15,323.3392122,14.0428677,0.6982228954
SLG,9,exaltata,11.52882206,6.485327222,60.03,84.6315,1.777677773,0.8539868189,13.5,232.2163433,14.0428677,0.6388431675
SSS,9,exaltata,17.8685751,6.872200475,22.239,46.853,2.600124249,0.7445239624,24,164.6090535,1.4781966,1.209882435
SSS,3,exaltata,17.97322144,7.019781133,42.783,52.7585,2.560367781,1.159562674,15.5,138.154027,3.6954915,1.444619452
SSS,2,exaltata,13.47675467,6.53280079,31.452,62.982,2.062936725,0.7701002667,17.5,123.4567901,5.912786401,1.771639083
SSS,1,exaltata,18.41573309,9.648638247,35.56,70.306,1.908635459,0.7366293235,25,229.2768959,8.869179601,-2.561681275
HR,8,hybrid,14.89463032,6.040587811,100.093,111.6975,2.46575843,0.4025575762,37,202.8218695,13.3037694,-2.547379517
HR,6,hybrid,13.98154477,6.059473991,98.4625,116.9325,2.307385887,0.3679353887,38,208.7007643,19.2165558,-2.695016169
HR,4,hybrid,17.74299304,7.294693799,95.7875,111.765,2.432314985,0.4549485394,39,249.8530276,22.172949,-1.671650726
HR,5,hybrid,12.86185043,5.275041548,94.4325,102.647,2.438246279,0.3429826781,37.5,243.9741329,18.4774575,-1.423468683
HR,7,hybrid,19.73291524,8.087529808,105.6685,117.0265,2.439918703,0.464303888,42.5,276.3080541,25.1293422,-2.23132415
SC,5,hybrid,18.16443216,5.819505072,72.501,92.4235,3.121301886,0.4541108039,40,314.5208701,70.21433851,-2.272214253
SGC1,7,hybrid,12.98734508,6.512275233,110.9355,123.8385,1.994286884,0.3658407066,35.5,220.4585538,46.5631929,-2.372582726
SGC2,9,hybrid,19.26833493,6.47367599,81.8475,101.353,2.97641324,0.4817083731,40,326.2786596,61.34515891,-1.956965602
SLG,10,hybrid,15.62461969,7.851705487,95.0035,116.3935,1.989965074,0.4807575289,32.5,235.1557907,47.3022912,-3.22271041
SLG,4,hybrid,15.52924987,6.479176745,112.9185,98.115,2.396793679,0.5354913748,29,296.8841858,59.12786401,1.086610022
CMB,7,syriaca,18.38066801,4.590635469,115.727,113.4115,4.003948502,0.4595167003,40,355.6731335,86.47450111,1.623446086
CMB,10,syriaca,19.15211255,7.332487721,86.387,122.382,2.611952898,0.4848636089,39.5,299.8236332,67.99704361,1.884568239
CMB,6,syriaca,18.29561937,7.762454459,101.053,110.424,2.356937418,0.420588951,43.5,305.7025279,86.47450111,2.135971193
CMB,8,syriaca,13.72280821,5.072855843,82.512,120.6785,2.705144525,0.3347026392,41,329.218107,87.21359941,1.443250719
