,sample_id,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,length_leaf,width_leaf,apical_angle ,base_angle ,L/W,L/V,Secondary_veins,stomata_density,trichome_density,Comp.1
0,BLDTT0,93.3,22,16.5,7.3,10.5,5,"46(1), 53(1)","1=5, 2=1",,,,,,,,,,
2,BLDTT1,70.7,14,15.4,7.1,8.9,5,"20(2), 25(5)","1=2, 2=3",,,,,,,,,,
4,BLDTT2,83.4,18,15.6,7.4,11.9,7,"24(3), 19(4)","1=3, 2=1",,,,,,,,,,
6,BLDTT3,44.9,9,7.5,3.6,3.6,0,,"1=3, 2=5",,,,,,,,,,
8,BLDTT4,78.8,17,13.9,7.2,10.5,3,"21(5), 26(2)","1=3, 2=2",,,,,,,,,,
10,BLDTT5,49.4,10,8.5,4.3,5.4,0,,"1=2, 2=4",,,,,,,,,,
12,BLDTT6,70.4,16,11.6,5.6,6.7,0,,"1=9, 2=4, 3=1",,,,,,,,,,
14,BLDTT7,40.1,1,5.1,3.4,6.8,0,,2=1,,,,,,,,,,
16,BLDTT8,41.8,6,6.3,3.3,4.4,0,,"1=1, 2=3",,,,,,,,,,
18,BLDTT9,59.9,15,11.2,5.9,8.7,0,,"1=6, 2=5",,,,,,,,,,
20,BLDTT10,37.6,8,7.5,3.3,3.3,0,,"1=2, 2=2, 3=1",,,,,,,,,,
22,BLDTT11,67.1,14,10.4,5.7,7.3,2,"NA(7), 2(6)","1=3, 2=2",,,,,,,,,,
24,BLDTT12,39.9,8,8.2,3.9,5.0,0,,"1=3, 2=5",,,,,,,,,,
26,BLDTT13,39.1,12,11.8,5.3,7.6,0,,"1=1, 2=5",,,,,,,,,,
28,BLDTT14,26.4,10,9.8,4.1,4.5,0,,"1=4, 2=3, 3=1, 4=1",,,,,,,,,,
30,BLDTT15,69.8,16,13.8,6.5,13.5,4,"62(1), 58(1)","1=2, 2=2",,,,,,,,,,
32,BLDTT16,53.5,16,13.1,6.2,8.5,2,"5(0), 65(0)","1=3, 2=2",,,,,,,,,,
34,BLDTT17,57.4,15,12.6,5.7,8.4,2,"61(1), 57(0)",2=2,,,,,,,,,,
36,BLDTT18,42.9,10,10,7.5,6.4,0,,"1=6, 2=3",,,,,,,,,,
38,BLDTT19,75.8,17,15,7.0,14.0,5,"61(5), 57(5)","1=3, 2=1",,,,,,,,,,
40,BLDTT20,65.6,16,14.6,6.9,13.0,6,"50(1), 61(1)",1=3,,,,,,,,,,
42,BLDTT21,31.1,11,11,4.2,5.4,0,,"1=3, 2=1",,,,,,,,,,
44,BLDTT22,66.8,18,14.6,6.8,10.7,4,"45(5), 48(2)","1=1, 2=1",,,,,,,,,,
46,BLDTT23,39.4,11,10.2,3.9,7.4,0,,1=1,,,,,,,,,,
48,BLDTT24,76.2,22,16.4,8.0,12.7,5,"51(5), 53(1)","1=2, 2=2",,,,,,,,,,
50,BLDTT25,61.3,18,12.8,7.5,16.1,3,"65(0), 58(0)","1=2, 2=2",,,,,,,,,,
52,BLDTT26,34.1,13,10,4.1,4.0,0,,"1=2, 2=3",,,,,,,,,,
54,BLDTT27,45.5,19,11.7,4.1,6.0,0,,1=4,,,,,,,,,,
56,BLDTT28,49.2,13,12.4,5.6,6.8,3,"47(2), 13(1)","1=5, 2=1",,,,,,,,,,
58,BLDTT29,72.5,18,13.5,5.5,9.4,5,"54(5), 41(3)",1=3,,,,,,,,,,
60,BLDTT30,60.6,14,10.2,5.1,7.4,0,,"1=5, 2=2",,,,,,,,,,
62,BLDTT31,96.2,26,17.7,8.2,13.7,8,"56(5), 88(2)",1=2,,,,,,,,,,
64,BLDTT32,88.1,22,15.2,6.9,12.0,6,"41(4), 38(3)","1=1, 2=1",,,,,,,,,,
66,BLDTT33,106.8,28,18.6,8.4,17.1,9,"105(5), 86(5)",1=7,,,,,,,,,,
68,BLDTT34,96.4,23,15.7,7.0,11.4,7,"80(4), 76(1)",1=3,,,,,,,,,,
70,BLDTT35,68.7,17,13.4,4.8,8.6,5,"64(5), 48(5)",1=9. 2=1,,,,,,,,,,
72,BLDTT36,74.8,24,15,5.9,10.9,4,"32(6), 33(5)",1=6,,,,,,,,,,
74,BLDTT37,99.3,26,17.9,8.1,14.0,10,"51(5), 47(4)",1=9,,,,,,,,,,
76,BLDTT38,67.9,19,12,5.5,7.9,5,"54(5), 47(5)","1=2, 2=1, 6=1",,,,,,,,,,
78,BLDTT39,83.1,23,15.2,5.7,10.6,6,"39(5), 28(5)",1=8,,,,,,,,,,
80,BLDTT40,61.4,15,11.8,5.9,7.1,4,"46(6), 52(5)","1=3, 2=1",,,,,,,,,,
82,BLDTT41,70.0,20,14.6,5.8,8.6,5,"27(5), 58(5)","1=5, 2=1",,,,,,,,,,
84,BLDTT42,60.2,18,13.7,5.2,8.3,4,"40(5), 40(5)",1=6,,,,,,,,,,
86,BLDTT43,72.5,21,16.1,7.3,12.1,5,"60(5), 45(5)",1=5,,,,,,,,,,
88,BLDTT44,82.1,22,15.9,8.3,10.9,5,"60(5), 48(2)",1=3,,,,,,,,,,
90,BLDTT45,39.6,11,12.7,6.0,7.4,1,27(6),,,,,,,,,,,
92,BLDTT46,93.6,23,19.1,9.3,15.1,7,"47(5), 59(5)",1=8,,,,,,,,,,
94,BLDTT47,55.5,15,13.6,6.3,9.1,3,"29(5), 50(3)","1=4, 2=1",,,,,,,,,,
96,BLDTT48,67.3,19,15.5,7.1,11.5,4,"39(5), 36(5)",1=5,,,,,,,,,,
98,BLDTT49,84.7,23,18.9,8.4,5.5,8,"31(5), 47(5)","1=9, 2=4",,,,,,,,,,
100,BLDTT50,72.2,16,13.7,6.0,9.5,3,"34(3), 10(1)",1=7,,,,,,,,,,
102,BLDTT51,86.8,18,14.6,7.4,10.8,4,"11(6), 12(4)","1=5, 2=2",,,,,,,,,,
104,BLDTT52,89.6,22,16.2,7.4,12.9,4,"54(3), 65(1)",1=3,,,,,,,,,,
106,BLDRV0,50.9,11,12.2,4.0,5.6,0,,2=6,,,,,,,,,,
107,BLDRV1,81.7,16,14.1,6.7,11.5,3,"18(5), 15(2)","1=7, 2=1",,,,,,,,,,
108,BLDRV2,79.0,19,14.5,6.8,11.7,2,"8(2), 17(5)",1=8,,,,,,,,,,
109,BLDRV3,71.5,16,14,6.3,8.9,1,9(1),"1=4, 2=3",,,,,,,,,,
110,BLDRV4,61.8,10,13.3,6.5,8.1,2,"35(6), NA(7)","1=3, 2=2, 3=1",,,,,,,,,,
111,BLDRV5,86.0,18,13.5,6.3,12.6,3,"20(5), 14(2)","1=3, 2=2",,,,,,,,,,
112,BLDRV6,71.1,17,14.7,7.0,11.5,0,,"1=9, 2=2",,,,,,,,,,
113,BLDRV7,23.4,5,6.8,2.5,2.6,0,,"2=1, 3=1",,,,,,,,,,
114,BLDRV8,65.2,14,13.5,5.9,10.7,0,,"1=5, 2=6",,,,,,,,,,
115,BLDRV9,43.8,10,8,4.8,5.5,0,,"1=6, 2=3, 3=1",,,,,,,,,,
116,BLDRV10,86.0,16,15.2,7.3,12.0,5,"17(7), 7(6)","1=4, 2=2",,,,,,,,,,
117,BLDRV11,37.5,7,9.5,3.3,4.0,0,,"1=3, 2=4",,,,,,,,,,
118,BLDRV12,79.6,15,14.7,7.4,13.3,4,"14(7), 18(6)","1=6, 2=5",,,,,,,,,,
119,BLDRV13,61.7,15,13.8,5.9,7.4,0,,"1=7, 2=6",,,,,,,,,,
120,BLDRV14,77.6,16,14,5.9,8.9,1,10(1),"1=12, 2=3",,,,,,,,,,
121,BLDRV15,66.4,15,12.4,5.5,7.1,0,,"1=5, 2=10",,,,,,,,,,
122,BLDRV16,71.5,16,14,5.7,9.6,5,"NA(7), 24(0)","1=7, 2=6",,,,,,,,,,
123,BLDRV17,49.0,9,10.9,4.9,4.5,0,,"1=2, 2=6, 3=1",,,,,,,,,,
124,BLDRV18,67.5,20,14.6,5.9,8.3,0,,"1=9, 2=3",,,,,,,,,,
125,BLDRV19,105.9,26,18.5,8.8,14.6,8,"14(5), 27(1)","1=11, 2=2",,,,,,,,,,
126,BLDRV20,28.2,9,10.8,4.0,4.2,0,,"1=2, 2=3",,,,,,,,,,
127,BLDRV21,58.8,18,12.8,5.4,6.5,0,,"1=9, 2=2, 3=1",,,,,,,,,,
128,BLDRV22,90.2,17,15.5,7.2,11.5,3,"44(0), 20(0)",1=6,,,,,,,,,,
129,BLDRV23,17.3,4,5.1,1.8,1.5,0,,,,,,,,,,,,
130,BLDRV24,44.2,7,8.1,4.6,3.7,0,,"1=1, 2=4, 3=1",,,,,,,,,,
131,BLDRV25,97.8,19,15.6,7.3,11.5,6,"27(7), NA(7)",1=5,,,,,,,,,,
132,BLDRV26,77.5,18,13.2,5.3,8.7,0,,1=5,,,,,,,,,,
133,BLDRV27,57.7,12,16,7.0,7.5,0,,"1=8, 2=1",,,,,,,,,,
134,BLDRV28,119.1,26,18,8.0,10.0,4,"45(1), 42(0)","1=7, 2=1",,,,,,,,,,
135,BLDRV29,84.4,19,14.2,5.6,11.3,2,"NA(7), NA(7)","1=7, 4=1",,,,,,,,,,
136,BLDRV30,69.9,18,15.2,5.8,9.0,0,,"1=2, 2=2",,,,,,,,,,
137,SKYT10,113.2,23,19.2,10.6,14.0,5,"51(5), 52(3)",1=7,,,,,,,,,,
138,SKYT11,98.2,20,17.7,9.1,11.2,5,"62(5), 51(3)",1=3,,,,,,,,,,
139,SKYT12,110.1,22,20.4,10.0,12.9,6,"44(5), 50(5)","1=1, 2=1",,,,,,,,,,
140,SKYT13,85.8,18,16.4,7.9,10.1,4,"61(5), 75(5)","1=3, 2=1",,,,,,,,,,
141,SKYT14,32.8,8,9.6,3.0,2.5,0,,,,,,,,,,,,
142,SKYT15,100.1,23,18.4,9.4,12.3,6,"46(3), 45(1)",1=4,,,,,,,,,,
143,SKYT16,105.1,20,17.7,7.8,11.9,6,"39(6), 54(5)",1=3,,,,,,,,,,
144,SKYT17,119.7,25,17.9,7.0,10.9,7,"53(5), 62(5)",1=3,,,,,,,,,,
145,SKYT18,106.4,26,17.1,7.6,14.0,7,"31(5), 48(1)",1=4,,,,,,,,,,
146,SKYT19,92.4,19,18,7.4,9.6,6,"42(5), 43(1)",1=3,,,,,,,,,,
147,SKYT110,48.9,18,12.7,4.6,7.6,0,,1=8,,,,,,,,,,
148,SKYT111,33.9,13,11.1,3.9,5.0,0,,1=2 2=1,,,,,,,,,,
149,SKYT112,114.4,27,19.3,9.2,13.4,8,"76(5), 70(5)",1=3,,,,,,,,,,
150,SKYT113,121.6,31,19.6,9.5,12.4,10,"62(5), 74(4)",1=3,,,,,,,,,,
151,SKYT114,39.0,11,11.1,3.5,4.2,0,,,,,,,,,,,,
152,SKYT115,92.2,24,19,7.7,11.2,4,"47(1), 54(0)",1=5,,,,,,,,,,
153,SKYT116,58.1,22,16.1,6.2,7.3,0,,1=3,,,,,,,,,,
154,SKYT117,33.3,14,11.9,3.9,4.6,0,,"1=4, 2=2",,,,,,,,,,
155,SKYT118,86.3,28,17.8,8.0,12.2,6,"60(5), 58(2)",1=3,,,,,,,,,,
