,V1,V2,Name,Species,PC1,PC2,PC3,PC4,PC5
0,0.753243943,0.246756057,RRL1,exaltata,0.19476886,0.048276405999999994,-0.023879902,-0.017137507,-0.039841764
1,0.581365683,0.41863431700000003,RRL9,exaltata,0.09771936,0.094733246,-0.006560023000000001,0.012822087,-0.022248092999999997
2,0.591513172,0.40848682799999997,RRL17,exaltata,0.099527225,0.09199582,0.004098483,-0.021346598999999997,0.007190188
3,0.04806566,0.95193434,FRW3,syriaca,-0.13946539,-0.064021535,-0.009963221999999999,-0.047536157,0.024756748
4,0.003946191,0.9960538090000001,FRW12,syriaca,-0.15513538,0.05545539,0.009907202,-0.04333402,-0.009336631
5,0.016870491,0.9831295090000001,MMP7,syriaca,-0.14547096,0.040481266,-0.012633025,0.08940963,-0.026201207
6,0.014152273,0.985847727,MMP15,syriaca,-0.14178735,0.05248844,-0.001292027,0.011315407,0.00531649
7,0.0009521789999999999,0.9990478209999999,PNR3,syriaca,-0.15617183,0.034307807999999995,0.008759816,-0.012745836000000002,-0.0212565
8,0.010869404,0.989130596,CMB13,syriaca,-0.15489268,0.10821225,-0.006325664,0.027256494,0.015136438
9,5.63e-06,0.9999943720000001,CMB21,syriaca,-0.15260035,0.048849712999999996,-0.030659795,0.030490327999999997,0.028277326000000002
10,0.5264428520000001,0.473557148,SLG1,exaltata,0.07330604,0.12488815,-0.018602598,-0.01747493,-0.015559977
11,0.13011230699999998,0.869887693,SLG13,syriaca,-0.115932696,-0.03501165,-0.033363013999999996,0.09201267,-0.017057965
12,0.7084121879999999,0.291587812,RRL2,exaltata,0.15492405,0.07127726,0.000923,-0.025829716000000003,0.005591766
13,0.592773065,0.407226935,RRL10,exaltata,0.113937445,0.08656046,-0.018321296,0.007765446999999999,-0.027254667000000003
14,0.756434368,0.243565632,RRL18,exaltata,0.19181943,0.06233021,-0.007967645,0.033918124,0.011057355
15,0.343453135,0.656546865,FRW4,syriaca,-0.024369499,0.04692084,0.017316611000000003,-0.06399772,0.016132452
16,0.06199869,0.93800131,FRW13,syriaca,-0.13726939999999999,-0.11946941,-0.032234807000000004,-0.0465973,0.029122096
17,8.58e-08,0.9999999140000001,MMP8,syriaca,-0.13802943,0.06567472,-0.014048361,0.05549799,-0.034023013
18,0.000119851,0.9998801490000001,MMP16,syriaca,-0.15363626,0.035954002,0.0030648529999999998,0.000921,0.012418235
19,0.6113055070000001,0.388694493,CMB6,syriaca,0.11661796,0.0891488,-0.011358733999999999,-0.005142925,-0.015048585
20,7.95e-06,0.99999205,CMB14,syriaca,-0.15588981,0.12228034,0.01648242,0.009375772,0.01676111
21,0.00102335,0.99897665,CMB22,syriaca,-0.16008991,0.09054671,-0.007357171,0.024092107999999997,0.010499325
22,0.68195383,0.31804617,SLG2,exaltata,0.14779317,0.059164744000000005,-0.024548962999999997,-0.011129295,-0.034775235
23,0.000187968,0.999812032,SLG14,syriaca,-0.1523847,0.000196,-0.014774608,-0.004950215,0.034156594
24,0.778046182,0.221953818,RRL3,exaltata,0.18774958,0.035009198,-0.016006002,-0.01252884,-0.011169495
