Sample_ID,N_percent_dm,P_percent_dm,K_percent_dm,Ca_percent_dm,Mg_percent_dm,Na_percent_dm,S_percent_dm,Zn_ppm_dm,Mn_ppm_dm,Fe_ppm_dm,Cu_ppm_dm,B_ppm_dm,Al_ppm_dm
RRL1,,0.21,4.01,0.83,0.29,0.01,0.37,29,281,234,8,24,130
RRL2,2.24,0.16,5.34,1.05,0.32,0.01,0.29,20,423,76,5,27,36
RRL3,,0.2,4.75,0.63,0.27,0.04,0.22,21,469,68,5,32,18
RRL4,,0.18,4.74,1.25,0.32,0.01,0.28,18,680,78,6,36,27
RRL5,3,0.26,3.51,1.2,0.44,0.01,0.29,29,507,66,7,23,22
RRL6,3.26,0.19,2.55,0.73,0.5,0.01,0.28,21,324,69,6,21,26
RRL7,,0.21,3.67,0.88,0.22,0.01,0.32,17,509,65,8,25,18
RRL8,,0.19,3.14,0.7,0.25,0.01,0.39,15,276,91,8,22,58
RRL9,3.39,0.18,3.23,0.65,0.3,0.01,0.35,17,476,72,8,30,23
RRL10,,0.18,3.29,1.37,0.38,0.01,0.28,28,538,61,6,25,26
RRL11,3.28,0.22,2.56,0.64,0.3,0.01,0.3,26,432,68,8,27,21
RRL12,,0.18,2.51,0.77,0.38,0.01,0.32,15,226,85,7,35,36
RRL13,,0.18,2.83,1.91,0.44,0.01,0.25,28,320,77,7,31,25
RRL14,2.57,0.18,3.32,1.34,0.38,0.01,0.34,32,448,66,5,24,16
RRL15,2.44,0.16,3.13,1.91,0.63,0.01,0.23,38,392,57,5,30,16
RRL16,2.75,0.2,4.15,1.11,0.25,0.01,0.29,24,297,45,4,26,11
RRL17,2.75,0.22,4.53,1.02,0.39,0.01,0.19,29,249,57,5,29,16
RRL18,,0.2,2.59,1.6,0.52,0.01,0.27,46,391,54,6,45,11
RRL19,2.68,0.24,3.42,1.22,0.47,0.01,0.26,24,282,58,5,27,13
RRL20,2.45,0.16,3.01,1.36,0.55,0.01,0.31,27,405,57,5,24,21
RRL21,2.75,0.17,4.61,1.26,0.44,0.01,0.2,30,207,54,5,40,13
RRL22,,0.2,4.68,1.38,0.37,0.01,0.17,26,343,67,5,49,29
FRW1,3.46,0.27,2.2,1.08,0.28,0.01,0.26,17,32,79,7,24,20
FRW2,3.19,0.22,3.83,2.18,0.34,0.01,0.23,16,43,68,8,33,19
FRW3,2.83,0.33,3.67,2.74,0.44,0.01,0.24,21,66,51,7,35,10
FRW4,3.64,0.26,2.49,0.84,0.23,0.01,0.24,15,24,53,6,24,8
FRW5,3,0.26,3.74,2.45,0.34,0.01,0.21,17,47,45,7,34,9
FRW6,3.35,0.29,3.56,1.92,0.33,0.01,0.27,17,50,48,8,38,7
FRW8,3.19,0.41,3.12,2.03,0.31,0.01,0.28,25,36,65,8,26,12
FRW9,3.2,0.27,4.3,1.84,0.27,0.01,0.27,29,67,51,10,33,6
FRW10,2.92,0.33,4.3,2.28,0.31,0.01,0.27,35,66,55,11,31,7
FRW11,3.29,0.3,4.73,2.21,0.37,0.01,0.26,24,47,46,9,33,5
FRW12,2.43,0.22,3.16,1.71,0.29,0.01,0.18,15,50,50,7,32,8
FRW13,3.23,0.28,3.14,2.33,0.36,0.01,0.27,17,65,56,8,31,9
FRW14,2.92,0.26,3.63,2.73,0.38,0.01,0.25,22,56,47,9,37,5
FRW15,2.92,0.23,3.29,1.87,0.39,0.01,0.2,13,53,60,8,34,12
FRW16,2.92,0.21,3.57,3.73,0.47,0.01,0.23,13,69,54,8,34,7
FRW17,2.98,0.21,3.77,2.99,0.41,0.01,0.24,19,79,57,8,48,9
FRW18,3.55,0.21,3.81,2.88,0.38,0.01,0.29,15,80,49,9,42,5
FRW19,3.57,0.28,4.13,1.37,0.3,0.01,0.24,24,80,58,10,25,5
FRW20,3.55,0.27,3.39,1.61,0.38,0.01,0.21,18,65,49,9,24,8
FRW21,2.9,0.2,2.85,1.28,0.23,0.01,0.17,14,43,40,6,22,5
FRW22,3.49,0.31,3.39,1.03,0.25,0.01,0.2,29,57,52,8,26,8
MMP1,2.06,0.21,0.92,1.53,0.46,0.01,0.16,31,174,26,5,19,20
MMP2,1.96,0.28,1.78,1.43,0.56,0.01,0.25,27,157,31,8,23,11
MMP3,2.17,0.26,1.4,0.49,0.22,0.01,0.15,16,50,32,6,16,10
MMP4,2.11,0.28,1.17,0.99,0.42,0.01,0.16,16,124,33,7,12,15
MMP5,1.98,0.25,1.58,1.41,0.49,0.01,0.21,24,179,35,8,17,30
MMP6,2.1,0.23,1.56,1.32,0.48,0.01,0.23,18,178,32,5,19,17
MMP7,1.95,0.22,0.74,1.86,0.74,0.01,0.17,23,187,30,5,28,17
MMP8,1.79,0.22,1.69,1.22,0.45,0.01,0.26,31,120,29,10,19,13
MMP9,2.16,0.35,1.34,1.83,0.79,0.01,0.25,28,181,34,8,27,19
MMP10,2.06,0.2,1.05,1.49,0.57,0.01,0.21,35,174,27,7,22,18
MMP11,2.96,0.32,1.85,0.77,0.5,0.01,0.19,24,145,50,10,14,17
MMP12,2.67,0.28,2.31,0.86,0.28,0.01,0.17,34,234,43,8,18,22
MMP13,2.27,0.33,3.44,0.76,0.32,0.01,0.19,21,153,38,9,13,22
MMP14,2.4,0.18,0.75,1.69,0.42,0.01,0.21,16,287,41,8,31,26
MMP15,2.56,0.22,1.62,1.47,0.38,0.01,0.3,23,172,40,7,13,31
MMP18,2.42,0.27,1.39,2.28,0.63,0.01,0.19,29,189,49,9,24,37
MMP19,2.84,0.36,2.36,1.19,0.48,0.01,0.19,19,128,43,7,37,15
MMP20,,0.19,0.99,1.28,0.39,0.01,0.19,17,139,39,6,13,31
CMB1,2.54,0.23,1.95,1.16,0.05,0.01,0.26,49,227,73,7,26,69
CMB2,3,0.25,1.93,1.49,0.11,0.01,0.29,62,130,55,5,31,51
CMB3,2.44,0.18,1.33,1.12,0.13,0.01,0.2,33,100,45,4,19,31
CMB6,2.47,0.18,1.29,1.01,0.14,0.01,0.2,23,83,42,4,24,24
CMB7,2.37,0.2,1.34,1.7,0.14,0.01,0.31,36,200,40,6,26,39
CMB8,3.1,0.49,2.8,1.01,0.59,0.01,0.34,26,188,61,10,17,21
CMB9,3.03,0.47,2.82,1.38,0.64,0.01,0.53,30,221,76,9,17,27
CMB10,3.53,0.43,2.03,1.17,0.56,0.01,0.48,31,242,74,11,17,26
CMB11,3.94,0.44,1.86,0.84,0.48,0.01,0.47,27,246,82,10,21,32
CMB12,3.22,0.3,2.29,0.68,0.25,0.01,0.35,30,218,67,7,17,21
CMB13,3.38,0.39,2.54,0.84,0.44,0.01,0.32,24,215,56,8,16,14
CMB14,3.1,0.34,2.47,0.75,0.34,0.01,0.28,38,329,69,7,20,23
CMB15,3.43,0.3,2.21,0.64,0.25,0.01,0.37,31,254,79,8,19,36
CMB16,3.37,0.32,2.67,0.88,0.3,0.01,0.35,26,252,103,9,14,73
CMB17,3.43,0.31,2.38,0.97,0.28,0.01,0.32,22,168,50,8,17,15
CMB18,3.26,0.31,2.38,1.22,0.43,0.01,0.32,17,186,54,7,18,11
CMB19,3.2,0.31,2.11,0.58,0.31,0.01,0.28,17,102,58,8,18,10
CMB20,3.43,0.3,2.1,0.52,0.27,0.01,0.3,24,113,58,8,15,9
CMB21,2.97,0.27,2.4,0.47,0.23,0.01,0.26,30,137,58,8,16,10
CMB22,3.72,0.31,1.9,0.26,0.23,0.01,0.25,28,106,50,7,19,6
CMB23,3.32,0.36,1.3,0.87,0.34,0.01,0.29,27,162,70,8,17,12
CMB24,3.49,0.26,2.22,0.68,0.28,0.01,0.21,23,209,46,7,19,11
CMB25,3.01,0.36,2.14,0.91,0.36,0.01,0.33,19,188,56,8,25,13
CMB26,3,0.32,2.16,0.93,0.31,0.01,0.28,21,163,49,9,16,14
CMB27,3,0.26,2.27,0.8,0.33,0.01,0.3,24,203,53,8,17,17
CMB28,2.99,0.39,3.38,1.05,0.37,0.01,0.31,27,226,61,11,18,12
SLG1,2.23,0.23,1.95,1.08,0.29,0.01,0.19,29,292,48,6,22,34
SLG2,2.1,0.2,2.55,0.6,0.13,0.01,0.2,18,167,42,3,23,34
SLG3,2.57,0.22,2.14,1.08,0.36,0.01,0.3,35,490,63,7,25,40
SLG4,2.39,0.21,2.98,0.61,0.15,0.01,0.39,19,353,61,6,33,51
SLG5,2.42,0.27,1.89,0.88,0.3,0.01,0.28,34,273,55,8,20,53
SLG6,2.26,0.21,2.38,0.81,0.39,0.01,0.27,36,225,42,7,15,41
SLG7,2.18,0.19,1.84,1.57,0.51,0.01,0.23,124,382,46,7,15,37
