,V1,V2,Name,Name_1
0,0.753243943,0.246756057,RRL1-exaltata,RRL1-exaltata
1,0.581365683,0.418634317,RRL9-exaltata,RRL9-exaltata
2,0.591513172,0.408486828,RRL17-exaltata,RRL17-exaltata
3,0.04806566,0.95193434,FRW3-syriaca,FRW3-syriaca
4,0.003946191,0.996053809,FRW12-syriaca,FRW12-syriaca
5,0.016870491,0.983129509,MMP7-syriaca,MMP7-syriaca
6,0.014152273,0.985847727,MMP15-syriaca,MMP15-syriaca
7,0.000952179,0.999047821,PNR3-syriaca,PNR3-syriaca
8,0.010869404,0.989130596,CMB13-syriaca,CMB13-syriaca
9,5.63e-06,0.999994372,CMB21-syriaca,CMB21-syriaca
10,0.526442852,0.473557148,SLG1-exaltata,SLG1-exaltata
11,0.130112307,0.869887693,SLG13-syriaca,SLG13-syriaca
12,0.708412188,0.291587812,RRL2-exaltata,RRL2-exaltata
13,0.592773065,0.407226935,RRL10-exaltata,RRL10-exaltata
14,0.756434368,0.243565632,RRL18-exaltata,RRL18-exaltata
15,0.343453135,0.656546865,FRW4-syriaca,FRW4-syriaca
16,0.06199869,0.93800131,FRW13-syriaca,FRW13-syriaca
17,8.58e-08,0.999999914,MMP8-syriaca,MMP8-syriaca
18,0.000119851,0.999880149,MMP16-syriaca,MMP16-syriaca
19,0.611305507,0.388694493,CMB6-syriaca,CMB6-syriaca
20,7.95e-06,0.99999205,CMB14-syriaca,CMB14-syriaca
21,0.00102335,0.99897665,CMB22-syriaca,CMB22-syriaca
22,0.68195383,0.31804617,SLG2-exaltata,SLG2-exaltata
23,0.000187968,0.999812032,SLG14-syriaca,SLG14-syriaca
24,0.778046182,0.221953818,RRL3-exaltata,RRL3-exaltata
25,0.584172845,0.415827155,RRL11-exaltata,RRL11-exaltata
26,0.67808708,0.32191292,RRL19-exaltata,RRL19-exaltata
27,0.037986675,0.962013325,FRW-5,FRW-5
28,1.25e-05,0.999987456,MMP1-syriaca,MMP1-syriaca
29,0.095047513,0.904952487,MMP9-syriaca,MMP9-syriaca
30,0.00387861,0.99612139,MMP17-syriaca,MMP17-syriaca
