,V1,V2,Name,Name_1,Species,Taxa,species,PC1,PC2,PC3,PC4,PC5,Unnamed: 7
0,0.753243943,0.246756057,RRL1,RRL1-exaltata,exaltata,RRL1,exaltata,0.19476886,0.048276406,-0.023879902,-0.017137507,-0.039841764,
1,0.581365683,0.418634317,RRL9,RRL9-exaltata,exaltata,RRL9,exaltata,0.09771936,0.094733246,-0.006560023,0.012822087,-0.022248093,
2,0.591513172,0.408486828,RRL17,RRL17-exaltata,exaltata,RRL17,exaltata,0.099527225,0.09199582,0.004098483,-0.021346599,0.007190188,
3,0.04806566,0.95193434,FRW3,FRW3-syriaca,syriaca,FRW3,syriaca,-0.13946539,-0.064021535,-0.009963222,-0.047536157,0.024756748,
4,0.003946191,0.996053809,FRW12,FRW12-syriaca,syriaca,FRW12,syriaca,-0.15513538,0.05545539,0.009907202,-0.04333402,-0.009336631,
5,0.016870491,0.983129509,MMP7,MMP7-syriaca,syriaca,MMP7,syriaca,-0.14547096,0.040481266,-0.012633025,0.08940963,-0.026201207,
6,0.014152273,0.985847727,MMP15,MMP15-syriaca,syriaca,MMP15,syriaca,-0.14178735,0.05248844,-0.001292027,0.011315407,0.00531649,
7,0.000952179,0.999047821,PNR3,PNR3-syriaca,syriaca,PNR3,syriaca,-0.15617183,0.034307808,0.008759816,-0.012745836,-0.0212565,
8,0.010869404,0.989130596,CMB13,CMB13-syriaca,syriaca,CMB13,syriaca,-0.15489268,0.10821225,-0.006325664,0.027256494,0.015136438,
9,5.63e-06,0.999994372,CMB21,CMB21-syriaca,syriaca,CMB21,syriaca,-0.15260035,0.048849713,-0.030659795,0.030490328,0.028277326,
10,0.526442852,0.473557148,SLG1,SLG1-exaltata,exaltata,SLG1,exaltata,0.07330604,0.12488815,-0.018602598,-0.01747493,-0.015559977,
11,0.130112307,0.869887693,SLG13,SLG13-syriaca,syriaca,SLG13,syriaca,-0.115932696,-0.03501165,-0.033363014,0.09201267,-0.017057965,
12,0.708412188,0.291587812,RRL2,RRL2-exaltata,exaltata,RRL2,exaltata,0.15492405,0.07127726,0.000923,-0.025829716,0.005591766,
13,0.592773065,0.407226935,RRL10,RRL10-exaltata,exaltata,RRL10,exaltata,0.113937445,0.08656046,-0.018321296,0.007765447,-0.027254667,
14,0.756434368,0.243565632,RRL18,RRL18-exaltata,exaltata,RRL18,exaltata,0.19181943,0.06233021,-0.007967645,0.033918124,0.011057355,
15,0.343453135,0.656546865,FRW4,FRW4-syriaca,syriaca,FRW4,syriaca,-0.024369499,0.04692084,0.017316611,-0.06399772,0.016132452,
16,0.06199869,0.93800131,FRW13,FRW13-syriaca,syriaca,FRW13,syriaca,-0.1372694,-0.11946941,-0.032234807,-0.0465973,0.029122096,
17,8.58e-08,0.999999914,MMP8,MMP8-syriaca,syriaca,MMP8,syriaca,-0.13802943,0.06567472,-0.014048361,0.05549799,-0.034023013,
18,0.000119851,0.999880149,MMP16,MMP16-syriaca,syriaca,MMP16,syriaca,-0.15363626,0.035954002,0.003064853,0.000921,0.012418235,
19,0.611305507,0.388694493,CMB6,CMB6-syriaca,syriaca,CMB6,syriaca,0.11661796,0.0891488,-0.011358734,-0.005142925,-0.015048585,
20,7.95e-06,0.99999205,CMB14,CMB14-syriaca,syriaca,CMB14,syriaca,-0.15588981,0.12228034,0.01648242,0.009375772,0.01676111,
21,0.00102335,0.99897665,CMB22,CMB22-syriaca,syriaca,CMB22,syriaca,-0.16008991,0.09054671,-0.007357171,0.024092108,0.010499325,
22,0.68195383,0.31804617,SLG2,SLG2-exaltata,exaltata,SLG2,exaltata,0.14779317,0.059164744,-0.024548963,-0.011129295,-0.034775235,
23,0.000187968,0.999812032,SLG14,SLG14-syriaca,syriaca,SLG14,syriaca,-0.1523847,0.000196,-0.014774608,-0.004950215,0.034156594,
24,0.778046182,0.221953818,RRL3,RRL3-exaltata,exaltata,RRL3,exaltata,0.18774958,0.035009198,-0.016006002,-0.01252884,-0.011169495,
25,0.584172845,0.415827155,RRL11,RRL11-exaltata,exaltata,RRL11,exaltata,0.10689447,0.08874242,0.007518572,-0.007987799,0.002289367,
26,0.67808708,0.32191292,RRL19,RRL19-exaltata,exaltata,RRL19,exaltata,0.13543402,0.06626358,0.001924889,-0.02772644,-0.02744266,
27,0.037986675,0.962013325,FRW,FRW-5,5,,,,,,,,
28,1.25e-05,0.999987456,MMP1,MMP1-syriaca,syriaca,MMP1,syriaca,-0.15812914,0.12986201,0.027166383,0.009137278,5.71e-05,
29,0.095047513,0.904952487,MMP9,MMP9-syriaca,syriaca,MMP9,syriaca,-0.13185757,-0.002844415,-0.01855865,0.09842658,-0.0073948,
30,0.00387861,0.99612139,MMP17,MMP17-syriaca,syriaca,MMP17,syriaca,-0.15201826,0.00150741,-0.001208941,0.04145332,-0.025159882,
31,0.001452347,0.998547653,CMB15,CMB15-syriaca,syriaca,CMB15,syriaca,-0.15964453,0.09443791,0.000697,0.030247176,0.01359877,
32,0.017364404,0.982635596,CMB23,CMB23-syriaca,syriaca,CMB23,syriaca,-0.14976375,0.08615787,0.002160819,0.049274176,0.004102839,
33,0.55184294,0.44815706,SLG3,SLG3-exaltata,exaltata,SLG3,exaltata,0.07380083,0.12801777,2.16e-05,-0.004363012,0.007745206,
34,0.000478191,0.999521809,SLG16,SLG16-syriaca,syriaca,SLG16,syriaca,-0.1455948,0.049154915,0.007177047,0.017174711,-0.03511055,
35,0.720366632,0.279633368,RRL4,RRL4-exaltata,exaltata,RRL4,exaltata,0.16716675,0.046052895,-0.03275362,-0.01619174,-0.028987776,
36,0.621389434,0.378610566,RRL12,RRL12-exaltata,exaltata,RRL12,exaltata,0.11151429,0.09284633,-0.022550507,-0.010786428,0.02173912,
37,0.887528169,0.112471831,RRL20,RRL20-exaltata,exaltata,RRL20,exaltata,0.24481441,-0.029296784,-0.05097307,0.022966,-0.003321986,
38,0.036645926,0.963354074,FRW6,FRW6-syriaca,syriaca,FRW6,syriaca,-0.14287516,0.017579366,-0.017795293,-0.042355277,0.0013509,
39,0.071215825,0.928784175,MMP2,MMP2-syriaca,syriaca,MMP2,syriaca,-0.12417936,-0.015794229,-0.04933872,0.10663601,-0.011737339,
40,0.007940276,0.992059724,MMP10,MMP10-syriaca,syriaca,MMP10,syriaca,-0.1445768,0.04187835,-0.019908447,0.08724277,-0.028641338,
41,0.033889231,0.966110769,MMP18,MMP18-syriaca,syriaca,MMP18,syriaca,-0.14317183,-0.038980447,-0.022789845,0.059778072,0.000602,
42,3.39e-08,0.999999966,CMB8,CMB8-syriaca,syriaca,CMB8,syriaca,-0.15503271,0.037725743,-0.01931601,0.05303768,0.030728143,
43,0.000756517,0.999243483,CMB16,CMB16-syriaca,syriaca,CMB16,syriaca,-0.15571678,0.10368895,0.007176627,0.03675893,0.009531777,
44,7.56e-14,1.0,CMB24,CMB24-syriaca,syriaca,CMB24,syriaca,-0.15495738,0.075662374,-0.004508699,0.039805334,0.012562014,
45,0.58747301,0.41252699,SLG4,SLG4-exaltata,exaltata,SLG4,exaltata,0.11107878,0.09837058,-0.010987682,-0.010208701,0.012288958,
46,0.039166073,0.960833927,SLG18,SLG18-syriaca,syriaca,SLG18,syriaca,-0.13163866,0.0641474,0.023457406,0.045087833,-0.019971902,
47,0.572487362,0.427512638,RRL5,RRL5-exaltata,exaltata,RRL5,exaltata,0.099801056,0.089800246,0.000613,-0.004978875,0.017524144,
48,0.85686537,0.14313463,RRL13,RRL13-exaltata,exaltata,RRL13,exaltata,0.22435994,0.00349323,-0.048505127,0.012705104,-6.64e-05,
49,0.788401649,0.211598351,RRL21,RRL21-exaltata,exaltata,RRL21,exaltata,0.18486333,0.038645357,-0.017773215,-0.006881719,-0.02167732,
50,0.307026774,0.692973226,FRW8,FRW8-syriaca,syriaca,FRW8,syriaca,-0.030449254,0.061606746,0.033927687,-0.043926768,0.028653517,
51,0.078399348,0.921600652,MMP3,MMP3-syriaca,syriaca,MMP3,syriaca,-0.12796435,-0.003279877,-0.026042145,0.07243126,-0.015351015,
52,0.0906216,0.9093784,MMP11,MMP11-syriaca,syriaca,MMP11,syriaca,-0.12527741,0.026658397,-0.01715776,0.03462207,-0.0017897,
53,0.049977275,0.950022725,MMP19,MMP19-syriaca,syriaca,MMP19,syriaca,-0.14824419,-0.04528984,-0.009745454,0.017110271,-0.001419017,
54,1.93e-06,0.999998074,CMB9,CMB9-syriaca,syriaca,CMB9,syriaca,-0.14337261,0.04853314,-0.034413423,0.051594134,0.030147282,
55,1.55e-16,1.0,CMB17,CMB17-syriaca,syriaca,CMB17,syriaca,-0.15460451,0.093484275,-0.010877034,0.015420239,0.037434727,
56,0.030505643,0.969494357,CMB25,CMB25-syriaca,syriaca,CMB25,syriaca,-0.14028692,0.06712972,0.003471289,0.051795714,0.030155314,
57,0.692085273,0.307914727,SLG5,SLG5-exaltata,exaltata,SLG5,exaltata,0.13135345,0.08150223,0.007732876,0.00689031,0.019974845,
58,0.000162188,0.999837812,SLG15,SLG15-syriaca,syriaca,SLG15,syriaca,-0.1487375,0.030116305,-0.008810903,-0.042565916,0.002475466,
59,0.653961475,0.346038525,RRL6,RRL6-exaltata,exaltata,RRL6,exaltata,0.1286102,0.076955006,0.020429322,-0.053479098,0.015590372,
60,0.791174713,0.208825287,RRL22,RRL22-exaltata,exaltata,RRL22,exaltata,0.19200355,0.02269861,-0.027640121,-0.021896966,0.010762544,
61,0.050382793,0.949617207,FRW9,FRW9-syriaca,syriaca,FRW9,syriaca,-0.13071892,-0.0482077,0.020033317,-0.056307882,-0.00951446,
62,6.25e-05,0.999937501,MMP4,MMP4-syriaca,syriaca,MMP4,syriaca,-0.1499364,0.01495103,-0.04016587,0.07605076,-0.011182042,
63,0.011954583,0.988045417,MMP12,MMP12-syriaca,syriaca,MMP12,syriaca,-0.14666118,0.104787,0.029031765,-0.000857,-0.019812906,
64,1.72e-06,0.999998278,MMP20,MMP20-syriaca,syriaca,MMP20,syriaca,-0.14998247,0.07842438,0.040867843,-0.036443803,-0.003423307,
65,0.000222879,0.999777121,CMB10,CMB10-syriaca,syriaca,CMB10,syriaca,-0.15026888,0.041661996,-0.01522678,0.06184924,0.043956388,
66,4.41e-09,0.999999996,CMB18,CMB18-syriaca,syriaca,CMB18,syriaca,-0.14834158,0.08543351,0.008185689,0.022763671,-0.005446793,
67,0.001649183,0.998350817,CMB26,CMB26-syriaca,syriaca,CMB26,syriaca,-0.15305771,0.09113132,-0.011045889,0.034102075,0.012588766,
68,0.51705625,0.48294375,SLG6,SLG6-exaltata,exaltata,SLG6,exaltata,0.075027965,0.11497988,0.009830424,-0.03001013,-0.020084528,
69,1.67e-13,1.0,SLG20,SLG20-syriaca,syriaca,SLG20,syriaca,-0.15051605,0.099330224,0.018743245,0.014137201,-0.00397468,
70,0.775481516,0.224518484,RRL7,RRL7-exaltata,exaltata,RRL7,exaltata,0.18453191,0.03136763,-0.018564975,0.016763268,-0.017642364,
71,0.214752199,0.785247801,FRW1,FRW1-syriaca,syriaca,FRW1,syriaca,-0.05060773,0.109213494,0.031232597,-0.063125014,0.010424474,
72,4.96e-06,0.99999504,FRW10,FRW10-syriaca,syriaca,FRW10,syriaca,-0.15024582,-0.003146688,0.013740771,-0.053870805,0.01422722,
73,0.079517924,0.920482076,MMP5,MMP5-syriaca,syriaca,MMP5,syriaca,-0.1299282,0.025127431,-0.021422682,0.072516136,-0.02272686,
74,0.038666205,0.961333795,MMP13,MMP13-syriaca,syriaca,MMP13,syriaca,-0.13782565,0.025051307,0.011632821,-0.011191883,0.026637172,
75,7.21e-08,0.999999928,PNR1,PNR1-syriaca,syriaca,PNR1,syriaca,-0.15115465,0.037809648,-0.000318,-0.016429191,-0.011034707,
76,1.74e-08,0.999999983,CMB11,CMB11-syriaca,syriaca,CMB11,syriaca,-0.14594585,0.06738358,-0.011765839,0.050858676,0.034067996,
77,6.48e-05,0.999935194,CMB19,CMB19-syriaca,syriaca,CMB19,syriaca,-0.15302579,0.06539814,-0.002525497,0.037721425,0.030975468,
78,1.33e-10,1.0,CMB27,CMB27-syriaca,syriaca,CMB27,syriaca,-0.1576714,0.034235477,0.008253193,0.055057596,0.03212818,
79,0.000496485,0.999503515,SLG8,SLG8-syriaca,syriaca,SLG8,syriaca,-0.14859495,-0.003271367,-0.008316635,-0.002811593,0.016608605,
80,4.85e-07,0.999999515,SLG23,SLG23-syriaca,syriaca,SLG23,syriaca,-0.14970806,0.07580838,-0.004923468,0.043004792,-0.006737571,
81,0.623128833,0.376871167,RRL16,RRL16-exaltata,exaltata,RRL16,exaltata,0.10260651,0.08454814,0.005238342,-0.04579149,0.001691488,
82,0.004733621,0.995266379,FRW2,FRW2-syriaca,syriaca,FRW2,syriaca,-0.15063846,0.046492666,0.002480024,-0.05429167,-0.014998959,
83,0.00013309,0.99986691,FRW11,FRW11-syriaca,syriaca,FRW11,syriaca,-0.1579392,0.043121707,0.013293674,-0.054458883,0.011560479,
84,6.99e-06,0.999993011,MMP6,MMP6-syriaca,syriaca,MMP6,syriaca,-0.1731285,0.044026997,-0.012078056,0.00563753,-0.018861938,
85,3.83e-06,0.999996167,MMP14,MMP14-syriaca,syriaca,MMP14,syriaca,-0.15130396,0.06555398,0.008235991,0.01898534,-0.002064494,
86,9.22e-12,1.0,PNR2,PNR2-hybrid,hybrid,PNR2,hybrid,-0.16445285,0.07848246,0.019091861,-0.018959748,-0.015882438,
87,0.344307922,0.655692078,RF13,RF13-exaltata,exaltata,RF13,exaltata,0.001536221,0.16885471,-0.009236567,-0.015274061,-0.02560931,
88,0.005588913,0.994411087,CMB20,CMB20-syriaca,syriaca,CMB20,syriaca,-0.14990556,0.0565575,-0.01603368,0.048744097,0.021707367,
89,0.000153566,0.999846434,CMB28,CMB28-syriaca,syriaca,CMB28,syriaca,-0.14759964,0.06258631,-0.026102945,0.04185907,0.018085547,
90,5.06e-06,0.999994941,SLG10,SLG10-syriaca,syriaca,SLG10,syriaca,-0.14696942,0.13452645,0.020129044,-0.033381626,0.00568278,
91,0.668283633,0.331716367,LFS1,LFS1-exaltata,exaltata,LFS1,exaltata,0.14893982,0.09393406,-0.005926215,0.000167,0.022491459,
92,0.801113134,0.198886866,LFS2,LFS2-exaltata,exaltata,LFS2,exaltata,0.20754763,0.041964617,-0.029116265,-0.022188267,-0.01943102,
93,0.849467133,0.150532867,LFS11,LFS11-exaltata,exaltata,LFS11,exaltata,0.23806697,-0.011749635,-0.036106534,0.002113408,0.005927893,
94,3.52e-05,0.999964791,SGC12,SGC12-,,,,,,,,,
95,0.738083374,0.261916626,HR1,HR1-quadrifolia,quadrifolia,HR1,quadrifolia,0.16198444,0.008937688,0.012163058,-0.026320282,0.112699404,
96,0.75375204,0.24624796,PTW3,PTW3-exaltata,exaltata,PTW3,exaltata,0.18071818,0.047848243,-0.027452221,-0.018857608,-0.003543879,
97,0.816879109,0.183120891,GH1,GH1-,,,,,,,,,
98,0.000614008,0.999385992,LM7,LM7-quadrifolia,quadrifolia,LM7,quadrifolia,-0.16255394,0.026945088,0.005793692,-0.00162205,-0.010924076,
99,0.023169081,0.976830919,LM15,LM15-syriaca,syriaca,LM15,syriaca,-0.1456204,0.011852978,-0.022589222,0.060479973,0.00362982,
100,0.017437742,0.982562258,LM23,LM23-syriaca,syriaca,LM23,syriaca,-0.14562447,0.011604244,0.00401791,0.000627,0.037859425,
101,0.013291859,0.986708141,MKP5,MKP5-syriaca,syriaca,MKP5,syriaca,-0.13889363,0.008105108,0.023663571,-0.02436999,0.01749765,
102,0.104022933,0.895977067,RF5,RF5-syriaca,syriaca,RF5,syriaca,-0.124611475,-0.096212015,-0.02139789,0.006478562,-0.002464153,
103,0.778834365,0.221165635,LFS3,LFS3-exaltata,exaltata,LFS3,exaltata,0.1909399,-0.019070385,-0.024701202,-0.048950788,-0.05607062,
104,0.745352851,0.254647149,LFS12,LFS12-exaltata,exaltata,LFS12,exaltata,0.16673444,0.06515192,-0.015066069,-0.03801759,0.04161193,
105,3.9e-11,1.0,SGC5,SGC5-,,,,,,,,,
106,7.29e-05,0.999927077,RGT1,RGT1-syriaca,syriaca,RGT1,syriaca,-0.15168317,0.033857502,0.011453482,-0.04868778,-0.019132653,
107,0.931272096,0.068727904,HR2,HR2-quadrifolia,quadrifolia,HR2,quadrifolia,0.25719288,-0.12759417,0.000147,-0.0003,0.1515107,
108,0.809388787,0.190611213,PTW4,PTW4-exaltata,exaltata,PTW4,exaltata,0.19568281,0.048862513,-0.008012439,-0.024012506,0.031458203,
109,0.004824874,0.995175126,LM8,LM8-quadrifolia,quadrifolia,LM8,quadrifolia,-0.1480471,-0.00400479,-0.012604088,0.004427984,0.011341558,
110,0.068588136,0.931411864,LM16,LM16-syriaca,syriaca,LM16,syriaca,-0.13836296,-0.009065274,-0.036967956,0.03991587,0.025614455,
111,0.054029707,0.945970293,LM25,LM25-syriaca,syriaca,LM25,syriaca,-0.13736762,-0.015967635,0.010379391,0.034792203,0.03588726,
112,0.035200284,0.964799716,MKP6,MKP6-syriaca,syriaca,MKP6,syriaca,-0.13843215,-0.0021776,0.012263763,-0.019851288,0.023509206,
113,0.999998537,1.46e-06,LFS4,LFS4-exaltata,exaltata,LFS4,exaltata,0.31233385,-0.045830548,-0.018572476,0.017252767,0.011663171,
114,0.889442528,0.110557472,LFS13,LFS13-exaltata,exaltata,LFS13,exaltata,0.23658775,-0.001880563,-0.033371627,-0.01921562,0.024184303,
115,0.000717107,0.999282893,RGT2,RGT2-syriaca,syriaca,RGT2,syriaca,-0.14450678,0.07140057,0.001306511,-0.044223584,0.016544733,
116,0.556127463,0.443872537,HR3,HR3-quadrifolia,quadrifolia,HR3,quadrifolia,0.08099741,0.05230351,0.03623921,-0.028569177,0.11539169,
117,0.75492487,0.24507513,PTW5,PTW5-exaltata,exaltata,PTW5,exaltata,0.18941139,0.02003968,-0.026029779,0.003272759,-0.02584784,
118,0.003948025,0.996051975,LM1,LM1-quadrifolia,quadrifolia,LM1,quadrifolia,-0.15242015,-0.009695889,-0.003288573,0.003387529,0.028237233,
119,0.052886087,0.947113913,LM9,LM9-syriaca,syriaca,LM9,syriaca,-0.14238282,-0.017038869,-0.027967053,0.0767193,0.048977003,
120,0.029370801,0.970629199,LM17,LM17-syriaca,syriaca,LM17,syriaca,-0.14447051,0.026225943,-0.03602906,0.054391693,0.04143836,
121,0.001928329,0.998071671,SLG21,SLG21-syriaca,syriaca,SLG21,syriaca,-0.1463313,0.000605,-0.001109625,-0.005275035,0.018053228,
122,2.07e-05,0.99997927,MKP7,MKP7-syriaca,syriaca,MKP7,syriaca,-0.15203074,0.052147165,0.016380873,-0.035952263,0.023267692,
123,0.939530535,0.060469465,LFS5,LFS5-exaltata,exaltata,LFS5,exaltata,0.2647414,-0.046811126,-0.01501116,-0.025663568,0.02080563,
124,0.584650002,0.415349998,LFS14,LFS14-exaltata,exaltata,LFS14,exaltata,0.08968435,0.08626045,-0.02500519,-0.035358656,0.012624532,
125,4.05e-13,1.0,RGT3,RGT3-syriaca,syriaca,RGT3,syriaca,-0.15584128,0.07518308,0.003723146,-0.02951843,-0.011775681,
126,0.985029884,0.014970116,HR4,HR4-quadrifolia,quadrifolia,HR4,quadrifolia,0.29728264,-0.15390638,0.004265179,0.007508005,0.14744575,
127,0.889679778,0.110320222,PTW6,PTW6-exaltata,exaltata,PTW6,exaltata,0.23300663,-0.012623372,-0.028743105,0.011245349,-0.004305593,
