,sample_id,Site,Archaea|Crenarchaeota,Archaea|Euryarchaeota,Archaea|Thaumarchaeota,Bacteria|Abditibacteriota,Bacteria|Acidobacteria,Bacteria|Actinobacteria,Bacteria|Aquificae,Bacteria|Armatimonadetes,Bacteria|Bacteroidetes,Bacteria|Balneolaeota,Bacteria|Calditrichaeota,Bacteria|Candidatus Aerophobetes,Bacteria|Candidatus Aminicenantes,Bacteria|Candidatus Atribacteria,Bacteria|Candidatus Buchananbacteria,Bacteria|Candidatus Cloacimonetes,Bacteria|Candidatus Curtissbacteria,Bacteria|Candidatus Dadabacteria,Bacteria|Candidatus Desantisbacteria,Bacteria|Candidatus Doudnabacteria,Bacteria|Candidatus Eisenbacteria,Bacteria|Candidatus Falkowbacteria,Bacteria|Candidatus Fermentibacteria,Bacteria|Candidatus Gottesmanbacteria,Bacteria|Candidatus Gracilibacteria,Bacteria|Candidatus Hydrogenedentes,Bacteria|Candidatus Jacksonbacteria,Bacteria|Candidatus Kaiserbacteria,Bacteria|Candidatus Latescibacteria,Bacteria|Candidatus Magasanikbacteria,Bacteria|Candidatus Margulisbacteria,Bacteria|Candidatus Marinimicrobia,Bacteria|Candidatus Melainabacteria,Bacteria|Candidatus Microgenomates,Bacteria|Candidatus Nomurabacteria,Bacteria|Candidatus Omnitrophica,Bacteria|Candidatus Parcubacteria,Bacteria|Candidatus Peregrinibacteria,Bacteria|Candidatus Poribacteria,Bacteria|Candidatus Portnoybacteria,Bacteria|Candidatus Rokubacteria,Bacteria|Candidatus Ryanbacteria,Bacteria|Candidatus Saccharibacteria,Bacteria|Candidatus Staskawiczbacteria,Bacteria|Candidatus Sumerlaeota,Bacteria|Candidatus Taylorbacteria,Bacteria|Candidatus Terrybacteria,Bacteria|Candidatus Woesebacteria,Bacteria|Chlamydiae,Bacteria|Chlorobi,Bacteria|Chloroflexi,Bacteria|Chrysiogenetes,Bacteria|Cyanobacteria,Bacteria|Deferribacteres,Bacteria|Deinococcus-Thermus,Bacteria|Dictyoglomi,Bacteria|Elusimicrobia,Bacteria|Firmicutes,Bacteria|Fusobacteria,Bacteria|Gemmatimonadetes,Bacteria|Ignavibacteriae,Bacteria|Nitrospinae,Bacteria|Nitrospirae,Bacteria|Planctomycetes,Bacteria|Proteobacteria,Bacteria|Rhodothermaeota,Bacteria|Spirochaetes,Bacteria|Synergistetes,Bacteria|Tenericutes,Bacteria|Thermodesulfobacteria,Bacteria|Thermotogae,Bacteria|Verrucomicrobia,Bacteria|candidate division CPR1,Bacteria|candidate division CPR3,Bacteria|candidate division NC10,Bacteria|candidate division WWE3,Bacteria|candidate division Zixibacteria,Eukaryota|Apicomplexa,Eukaryota|Ascomycota,Eukaryota|Bacillariophyta,Eukaryota|Basidiomycota,Eukaryota|Blastocladiomycota,Eukaryota|Chlorophyta,Eukaryota|Chytridiomycota,Eukaryota|Cryptomycota,Eukaryota|Microsporidia,Eukaryota|Mucoromycota,Eukaryota|Streptophyta,Eukaryota|Zoopagomycota
0,RRL1,RRL,0,0.17797,0,0,0.08643,4.71047,0.1431,0,0.67146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01337,0,0,0,0,0.24529,0.00218,0.0058,0,0,0.00017,0.00011,0,0,0.00019,0,0,0,0.01769,0,15.30958,0,0.0885,0,0,2.63314,0.00217,0,0,0,0.00034,0.00069,5.31801,0,0.03309,0.01376,0.82833,0.02955,0.05329,0,0,0,0.00024,0,0,0.13405,0.32279,0.00033,0.09698,0,0.0403,0,0.00016,0.00073,0.00599,0,0
1,RRL2,RRL,0,0.15614,0,0,0.00198,4.87482,0.20014,0,0.45856,0,0,0,0,0.00393,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0.00579,0,0,0,0,0.25618,0.00254,0.00552,0,0,0.00011,0.00017,0,0,0,0,0,0,0.01979,0,15.17152,0,0.08167,0,0,2.93196,0.00427,0.00016,0.00014,0,0.00033,0.00043,4.10263,0,0.03854,0.01409,0.51516,0,0.00634,0,0,0,0.00041,0,0,0.16649,0.23027,0.0005,0.06678,0,0.02993,0,0.00051,0.00049,0.0039,0,0
2,RRL3,RRL,0,0.17023,0,0,0.08687,3.52737,0.10634,0,0.514,0,0,0,0,0.00533,0,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0.01679,0,0,0,0,0.22935,0.00301,0.00624,0,0,0.00358,0.00011,0,0.00044,0.00019,0,0,0,0.00018,0,19.71332,0,0.09138,0,0,2.83003,0.00458,0,0.00023,0,0.00029,0.00116,4.81876,0,0.03843,0.01007,0.6257,0.04048,0,0.00011,0,0,0.00029,0,0,0.11543,0.24698,0.00045,0.07855,0,0.03326,0,0.00032,0.0004,0.00311,0,0
3,RRL4,RRL,0,0.15893,0,0,0.05855,4.61111,0.11605,0,0.5356,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.01221,0,0,0,0,0.29337,0.00257,0.00529,0,0,0,0,0,0.00045,0,0,0,0,0.00044,0,16.20834,0,0.06967,0,0,1.47236,0.00395,0.00016,0,0,0.00109,0.00101,3.21454,0,0.03969,0.01481,0.45704,0,0.03177,0,0,0,0.00027,0,0,0.10822,0.17981,0.00026,0.0644,0,0.03055,0,0.00055,0.00039,0.00539,0,0
4,RRL5,RRL,0,0.14098,0,0,0.00024,3.05559,0.1395,0,0.43189,0,0,0,0,0.00509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0.26701,0.00262,0.00923,0,0,0,0.00013,0,0,0.00012,0,0,0,0.01747,0,17.27123,0,0.06075,0,0,0.89999,0.00419,0,0.00032,0,0.00246,0.0002,5.8466,0,0.03765,0.02219,0.49355,0,0.01174,0,0,0,0.00023,0,0,0.06823,0.14213,0.00027,0.03485,0,0.02211,0,0.00023,0.00049,0.0022,0,0
5,RRL6,RRL,0,0.1902,0,0,0.083,4.35181,0.16462,0,0.68657,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,0,0,0,0.25969,0.0029,0,0,0,0,0,0,0.00052,0.00016,0,0,0,0.00036,0,13.65186,0,0.06916,0,0,3.33241,0.00448,0.00041,0,0,0,0.0005,5.19557,0,0.00039,0.00265,0.57244,0.00014,0.02564,0.00119,0,0,0.00049,0,0,0.16334,0.18322,0.00039,0.06259,0,0.03635,0,0.00436,0.00095,0.00371,0,0
6,RRL7,RRL,0,0.20571,0,0,0.09393,8.44138,0.10375,0,0.69446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02389,0,0,0.00012,0,0.23575,0.00244,0.00743,0,0,0.00021,0,0,0,0.00035,0,0,0,0.00074,0,15.81629,0,0.13748,0.11018,0,2.72221,0.00436,0.00024,0,0,0.00031,0.00115,4.80234,0,0.02973,0.02189,0.45862,0,0.00914,0,0,0,0.00028,0,0,0.04773,0.34756,0.00053,0.09069,0,0.03248,0.00015,0.00109,0.00097,0.00773,0,0.00058
7,RRL8,RRL,0,0.1687,0,0,0,5.17185,0.13236,0,0.1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0,0,0.18285,0.00217,0,0,0,0,0,0,0,0,0,0,0.00012,0.00174,0,12.76386,0,0.1145,0,0,5.80849,0.0023,0.00019,0,0,0.00352,0.0009,4.9941,0,0.06808,0.00772,1.14013,0,0,0,0,0,0.00014,0,0,0.01825,0.21733,0.00061,0.04317,0,0.02608,0,0,0.00069,0.00521,0,0.00017
8,RRL9,RRL,0,0.14109,0,0,0.004,6.45114,0.12144,0,0.43042,0,0,0,0,0.00017,0,0,0,0,0,0,0,0.00039,0.00011,0,0,0,0,0,0,0,0,0,0.00423,0,0,0,0,0.2255,0.00252,0.00408,0,0,0.00011,0,0,0,0,0,0,0,0.01685,0,12.04353,0,0.16078,0,0,8.77102,0.00356,0.00019,0.00013,0,0.00026,0.00423,4.8386,0,0.02717,0.00679,0.44657,0,0,0,0,0,0.00028,0,0,0.20729,0.33942,0.00079,0.06047,0,0.04017,0,0.00116,0.00191,0.00493,0,0
9,RRL10,RRL,0,0.12601,0,0,0.00016,2.38119,0.16363,0,0.46743,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0,0,0,0.04256,0.00363,0.01018,0,0,0.00025,0.00011,0,0.00038,0.00039,0,0,0,0.02393,0,23.19811,0,0.05789,0,0,3.71065,0.00602,0.00013,0.00031,0,0.00529,0.00065,5.44293,0,0.05263,0.02608,0.49369,0.04938,0,0.00156,0,0,0.00043,0,0,0.01427,0.22654,0,0.05606,0,0.02926,0,0.00583,0.00085,0.00398,0,0.00012
