site_id,sample_id,Species,Ht(cm),# Leaves,Length LL (cm),Width LL (cm),Stem Diameter (mm),# Inflorescences,# Flowers Per (x2),Herbivory,date
BLD,BLDTT0,,93.3,22,16.5,7.3,10.5,5,"46(1), 53(1)","1=5, 2=1",6/29/2020
BLD,BLDTT0,,,,,,,,,,6/29/2020
BLD,BLDTT1,,70.7,14,15.4,7.1,8.9,5,"20(2), 25(5)","1=2, 2=3",6/29/2020
BLD,BLDTT1,,,,,,,,,,6/29/2020
BLD,BLDTT2,,83.4,18,15.6,7.4,11.9,7,"24(3), 19(4)","1=3, 2=1",6/29/2020
BLD,BLDTT2,,,,,,,,,,6/29/2020
BLD,BLDTT3,,44.9,9,7.5,3.6,3.6,0,,"1=3, 2=5",6/29/2020
BLD,BLDTT3,,,,,,,,,,6/29/2020
BLD,BLDTT4,,78.8,17,13.9,7.2,10.5,3,"21(5), 26(2)","1=3, 2=2",6/29/2020
BLD,BLDTT4,,,,,,,,,,6/29/2020
BLD,BLDTT5,,49.4,10,8.5,4.3,5.4,0,,"1=2, 2=4",6/29/2020
BLD,BLDTT5,,,,,,,,,,6/29/2020
BLD,BLDTT6,,70.4,16,11.6,5.6,6.7,0,,"1=9, 2=4, 3=1",6/29/2020
BLD,BLDTT6,,,,,,,,,,6/29/2020
BLD,BLDTT7,,40.1,1,5.1,3.4,6.8,0,,2=1,6/29/2020
BLD,BLDTT7,,,,,,,,,,6/29/2020
BLD,BLDTT8,,41.8,6,6.3,3.3,4.4,0,,"1=1, 2=3",6/29/2020
BLD,BLDTT8,,,,,,,,,,6/29/2020
BLD,BLDTT9,,59.9,15,11.2,5.9,8.7,0,,"1=6, 2=5",6/29/2020
BLD,BLDTT9,,,,,,,,,,6/29/2020
BLD,BLDTT10,,37.6,8,7.5,3.3,3.3,0,,"1=2, 2=2, 3=1",6/29/2020
BLD,BLDTT10,,,,,,,,,,6/29/2020
BLD,BLDTT11,,67.1,14,10.4,5.7,7.3,2,"NA(7), 2(6)","1=3, 2=2",6/29/2020
BLD,BLDTT11,,,,,,,,,,6/29/2020
BLD,BLDTT12,,39.9,8,8.2,3.9,5,0,,"1=3, 2=5",6/29/2020
BLD,BLDTT12,,,,,,,,,,6/29/2020
BLD,BLDTT13,,39.1,12,11.8,5.3,7.6,0,,"1=1, 2=5",6/29/2020
BLD,BLDTT13,,,,,,,,,,6/29/2020
BLD,BLDTT14,,26.4,10,9.8,4.1,4.5,0,,"1=4, 2=3, 3=1, 4=1",6/29/2020
BLD,BLDTT14,,,,,,,,,,6/29/2020
BLD,BLDTT15,,69.8,16,13.8,6.5,13.5,4,"62(1), 58(1)","1=2, 2=2",6/29/2020
BLD,BLDTT15,,,,,,,,,,6/29/2020
BLD,BLDTT16,,53.5,16,13.1,6.2,8.5,2,"5(0), 65(0)","1=3, 2=2",6/29/2020
BLD,BLDTT16,,,,,,,,,,6/29/2020
BLD,BLDTT17,,57.4,15,12.6,5.7,8.4,2,"61(1), 57(0)",2=2,6/29/2020
BLD,BLDTT17,,,,,,,,,,6/29/2020
BLD,BLDTT18,,42.9,10,10,7.5,6.4,0,,"1=6, 2=3",6/29/2020
BLD,BLDTT18,,,,,,,,,,6/29/2020
BLD,BLDTT19,,75.8,17,15,7,14,5,"61(5), 57(5)","1=3, 2=1",6/29/2020
BLD,BLDTT19,,,,,,,,,,6/29/2020
BLD,BLDTT20,,65.6,16,14.6,6.9,13,6,"50(1), 61(1)",1=3,6/29/2020
BLD,BLDTT20,,,,,,,,,,6/29/2020
BLD,BLDTT21,,31.1,11,11,4.2,5.4,0,,"1=3, 2=1",6/29/2020
BLD,BLDTT21,,,,,,,,,,6/29/2020
BLD,BLDTT22,,66.8,18,14.6,6.8,10.7,4,"45(5), 48(2)","1=1, 2=1",6/29/2020
BLD,BLDTT22,,,,,,,,,,6/29/2020
BLD,BLDTT23,,39.4,11,10.2,3.9,7.4,0,,1=1,6/29/2020
BLD,BLDTT23,,,,,,,,,,6/29/2020
BLD,BLDTT24,,76.2,22,16.4,8,12.7,5,"51(5), 53(1)","1=2, 2=2",6/29/2020
BLD,BLDTT24,,,,,,,,,,6/29/2020
BLD,BLDTT25,,61.3,18,12.8,7.5,16.1,3,"65(0), 58(0)","1=2, 2=2",6/29/2020
BLD,BLDTT25,,,,,,,,,,6/29/2020
BLD,BLDTT26,,34.1,13,10,4.1,4,0,,"1=2, 2=3",6/29/2020
BLD,BLDTT26,,,,,,,,,,6/29/2020
BLD,BLDTT27,,45.5,19,11.7,4.1,6,0,,1=4,6/29/2020
BLD,BLDTT27,,,,,,,,,,6/29/2020
BLD,BLDTT28,,49.2,13,12.4,5.6,6.8,3,"47(2), 13(1)","1=5, 2=1",6/29/2020
BLD,BLDTT28,,,,,,,,,,6/29/2020
BLD,BLDTT29,,72.5,18,13.5,5.5,9.4,5,"54(5), 41(3)",1=3,6/29/2020
BLD,BLDTT29,,,,,,,,,,6/29/2020
BLD,BLDTT30,,60.6,14,10.2,5.1,7.4,0,,"1=5, 2=2",6/29/2020
BLD,BLDTT30,,,,,,,,,,6/29/2020
BLD,BLDTT31,,96.2,26,17.7,8.2,13.7,8,"56(5), 88(2)",1=2,6/29/2020
BLD,BLDTT31,,,,,,,,,,6/29/2020
BLD,BLDTT32,,88.1,22,15.2,6.9,12,6,"41(4), 38(3)","1=1, 2=1",6/29/2020
BLD,BLDTT32,,,,,,,,,,6/29/2020
BLD,BLDTT33,,106.8,28,18.6,8.4,17.1,9,"105(5), 86(5)",1=7,6/29/2020
BLD,BLDTT33,,,,,,,,,,6/29/2020
BLD,BLDTT34,,96.4,23,15.7,7,11.4,7,"80(4), 76(1)",1=3,6/29/2020
BLD,BLDTT34,,,,,,,,,,6/29/2020
BLD,BLDTT35,,68.7,17,13.4,4.8,8.6,5,"64(5), 48(5)",1=9. 2=1,6/29/2020
BLD,BLDTT35,,,,,,,,,,6/29/2020
BLD,BLDTT36,,74.8,24,15,5.9,10.9,4,"32(6), 33(5)",1=6,6/29/2020
BLD,BLDTT36,,,,,,,,,,6/29/2020
BLD,BLDTT37,,99.3,26,17.9,8.1,14,10,"51(5), 47(4)",1=9,6/30/2020
BLD,BLDTT37,,,,,,,,,,6/30/2020
BLD,BLDTT38,,67.9,19,12,5.5,7.9,5,"54(5), 47(5)","1=2, 2=1, 6=1",6/30/2020
BLD,BLDTT38,,,,,,,,,,6/30/2020
BLD,BLDTT39,,83.1,23,15.2,5.7,10.6,6,"39(5), 28(5)",1=8,6/30/2020
BLD,BLDTT39,,,,,,,,,,6/30/2020
BLD,BLDTT40,,61.4,15,11.8,5.9,7.1,4,"46(6), 52(5)","1=3, 2=1",6/30/2020
BLD,BLDTT40,,,,,,,,,,6/30/2020
BLD,BLDTT41,,70,20,14.6,5.8,8.6,5,"27(5), 58(5)","1=5, 2=1",6/30/2020
BLD,BLDTT41,,,,,,,,,,6/30/2020
BLD,BLDTT42,,60.2,18,13.7,5.2,8.3,4,"40(5), 40(5)",1=6,6/30/2020
BLD,BLDTT42,,,,,,,,,,6/30/2020
BLD,BLDTT43,,72.5,21,16.1,7.3,12.1,5,"60(5), 45(5)",1=5,6/30/2020
BLD,BLDTT43,,,,,,,,,,6/30/2020
BLD,BLDTT44,,82.1,22,15.9,8.3,10.9,5,"60(5), 48(2)",1=3,6/30/2020
BLD,BLDTT44,,,,,,,,,,6/30/2020
BLD,BLDTT45,,39.6,11,12.7,6,7.4,1,27(6),,6/30/2020
BLD,BLDTT45,,,,,,,,,,6/30/2020
BLD,BLDTT46,,93.6,23,19.1,9.3,15.1,7,"47(5), 59(5)",1=8,6/30/2020
BLD,BLDTT46,,,,,,,,,,6/30/2020
BLD,BLDTT47,,55.5,15,13.6,6.3,9.1,3,"29(5), 50(3)","1=4, 2=1",6/30/2020
BLD,BLDTT47,,,,,,,,,,6/30/2020
BLD,BLDTT48,,67.3,19,15.5,7.1,11.5,4,"39(5), 36(5)",1=5,6/30/2020
BLD,BLDTT48,,,,,,,,,,6/30/2020
BLD,BLDTT49,,84.7,23,18.9,8.4,5.5,8,"31(5), 47(5)","1=9, 2=4",6/30/2020
