sample_id,site,OM,ENR,CEC,pH,BpH,Phosphorus,Potassium,Calcium,Magnesium,Sulfur,Sodium,Zinc,Manganese,Iron,Copper,Boron
1 BLDTT0,BLDTT,4.3,124,8.1,6.8,6.91,18,180,1193,178,3,7,2.3,321,78,1.5,0.5
1 BLDTT11,BLDTT,4.7,135,6.6,6,6.83,22,195,781,138,5,9,1.9,85,76,1,0.4
1 BLDTT12,BLDTT,4.6,133,6.6,6.1,6.84,23,266,770,131,5,9,1.6,78,82,0.9,0.3
1 BLDTT13,BLDTT,4.9,138,6.8,6.1,6.84,24,270,741,175,1,9,2.2,76,80,1.1,0.3
1 BLDTT14,BLDTT,5.4,148,7.3,5.8,6.79,32,229,766,172,8,9,2.6,64,87,1,0.3
1 BLDTT15,BLDTT,4.5,130,7.1,6.1,6.83,25,335,751,177,8,9,2,76,81,1.2,0.4
1 BLDTT16,BLDTT,5,140,7.1,6,6.82,14,152,859,151,10,9,1.7,163,79,1.1,0.4
1 BLDTT17,BLDTT,5,139,7.6,6.3,6.85,15,233,931,180,6,7,2,129,70,1.3,0.4
1 BLDTT18,BLDTT,4.7,134,7,5.7,6.78,19,112,790,144,5,8,2,94,95,1.5,0.4
1 BLDTT19,BLDTT,4.8,134,8.6,6.4,6.85,18,325,1042,201,3,9,2.3,102,87,1.4,0.5
1 BLDTT2,BLDTT,4.9,135,9,6.8,6.9,15,177,1335,188,3,7,3,308,68,1.4,0.6
1 BLDTT20,BLDTT,4.6,132,7.3,6.1,6.83,19,237,871,159,9,9,2.8,101,104,1.3,0.4
1 BLDTT21,BLDTT,5.6,150,8.1,6.2,6.83,16,281,967,184,5,9,3.4,150,108,1.4,0.5
1 BLDTT22,BLDTT,5.1,143,6.5,6,6.83,17,274,762,110,5,7,2.3,123,97,1.5,0.4
1 BLDTT23,BLDTT,4.9,140,5.9,5.6,6.79,16,127,659,98,9,8,2.1,104,160,1.7,0.4
1 BLDTT24,BLDTT,5.9,150,5.9,5.1,6.71,30,117,531,82,7,8,2.4,140,109,1.4,0.3
1 BLDTT25,BLDTT,5,145,3.7,5.7,6.85,19,134,402,65,4,8,2.2,101,109,1.1,0.2
1 BLDTT26,BLDTT,4.1,124,5.3,6.3,6.87,20,216,618,122,5,9,2.3,171,119,1.6,0.3
1 BLDTT27,BLDTT,4,124,4.1,5.8,6.85,18,143,445,82,3,9,1.5,240,125,1.5,0.2
1 BLDTT28,BLDTT,5.9,150,6.9,6.2,6.85,23,205,901,127,10,9,3.1,229,151,1.8,0.5
1 BLDTT29,BLDTT,5.3,149,4.9,5.8,6.84,20,136,574,84,6,9,2.6,243,211,2,0.4
